trial,requested_ns,actual_ns,error_ns
1,100000,190718,90718
2,100000,176807,76807
3,100000,174382,74382
4,100000,224568,124568
5,100000,176837,76837
6,100000,173160,73160
7,100000,175685,75685
8,100000,198569,98569
9,100000,193469,93469
10,100000,208152,108152
11,100000,191380,91380
12,100000,196470,96470
13,100000,191229,91229
14,100000,186766,86766
15,100000,180023,80023
16,100000,188550,88550
17,100000,190643,90643
18,100000,202055,102055
19,100000,191285,91285
20,100000,193338,93338
21,100000,190383,90383
22,100000,193338,93338
23,100000,190864,90864
24,100000,204765,104765
25,100000,186505,86505
26,100000,206083,106083
27,100000,204876,104876
28,100000,225731,125731
29,100000,190804,90804
30,100000,187026,87026
31,100000,190644,90644
32,100000,193699,93699
33,100000,184972,84972
34,100000,186461,86461
35,100000,176987,76987
36,100000,192707,92707
37,100000,204014,104014
38,100000,197962,97962
39,100000,214203,114203
40,100000,193539,93539
41,100000,208352,108352
42,100000,182683,82683
43,100000,184987,84987
44,100000,176747,76747
45,100000,173871,73871
46,100000,175455,75455
47,100000,174402,74402
48,100000,190062,90062
49,100000,194281,94281
50,100000,218061,118061
51,100000,195422,95422
52,100000,184862,84862
53,100000,194772,94772
54,100000,196715,96715
55,100000,190563,90563
56,100000,189461,89461
57,100000,194340,94340
58,100000,176817,76817
59,100000,182167,82167
60,100000,190488,90488
61,100000,179843,79843
62,100000,182563,82563
63,100000,208067,108067
64,100000,176286,76286
65,100000,175365,75365
66,100000,176296,76296
67,100000,231015,131015
68,100000,199926,99926
69,100000,230189,130189
70,100000,195773,95773
71,100000,199300,99300
72,100000,198439,98439
73,100000,193349,93349
74,100000,183430,83430
75,100000,197126,97126
76,100000,189350,89350
77,100000,196074,96074
78,100000,182498,82498
79,100000,188644,88644
80,100000,153367,53367
81,100000,191766,91766
82,100000,185674,85674
83,100000,177599,77599
84,100000,188449,88449
85,100000,190924,90924
86,100000,442242,342242
87,100000,436863,336863
88,100000,426012,326012
89,100000,510242,410242
90,100000,191695,91695
91,100000,190814,90814
92,100000,190608,90608
93,100000,190779,90779
94,100000,183665,83665
95,100000,185007,85007
96,100000,189171,89171
97,100000,193228,93228
98,100000,180615,80615
99,100000,200512,100512
100,100000,196795,96795
