trial,requested_ns,actual_ns,error_ns
1,10000000,10122029,122029
2,10000000,10111991,111991
3,10000000,10166243,166243
4,10000000,10114336,114336
5,10000000,10123352,123352
6,10000000,10117952,117952
7,10000000,10143231,143231
8,10000000,10164471,164471
9,10000000,10130556,130556
10,10000000,10123132,123132
11,10000000,10173878,173878
12,10000000,10148586,148586
13,10000000,10200330,200330
14,10000000,10469392,469392
15,10000000,10279421,279421
16,10000000,10281523,281523
17,10000000,10773787,773787
18,10000000,10360826,360826
19,10000000,10885260,885260
20,10000000,10963714,963714
21,10000000,10280293,280293
22,10000000,10238761,238761
23,10000000,10273333,273333
24,10000000,10300245,300245
25,10000000,10202999,202999
26,10000000,10311236,311236
27,10000000,10828616,828616
28,10000000,10306942,306942
29,10000000,10305830,305830
30,10000000,10307253,307253
31,10000000,10178753,178753
32,10000000,10153705,153705
33,10000000,10132044,132044
34,10000000,10273379,273379
35,10000000,10201189,201189
36,10000000,10215874,215874
37,10000000,10157073,157073
38,10000000,10255845,255845
39,10000000,10220638,220638
40,10000000,10241107,241107
41,10000000,10229159,229159
42,10000000,10290342,290342
43,10000000,10146501,146501
44,10000000,10265694,265694
45,10000000,10206149,206149
46,10000000,10242850,242850
47,10000000,10169084,169084
48,10000000,10260398,260398
49,10000000,10182967,182967
50,10000000,10340555,340555
51,10000000,10220547,220547
52,10000000,10252039,252039
53,10000000,10242419,242419
54,10000000,10190660,190660
55,10000000,10256646,256646
56,10000000,10229364,229364
57,10000000,10183088,183088
58,10000000,10208209,208209
59,10000000,10155825,155825
60,10000000,10237785,237785
61,10000000,10211846,211846
62,10000000,10180846,180846
63,10000000,10218733,218733
64,10000000,10149333,149333
65,10000000,10295070,295070
66,10000000,10178528,178528
67,10000000,10129945,129945
68,10000000,10219026,219026
69,10000000,10196186,196186
70,10000000,10243833,243833
71,10000000,10188936,188936
72,10000000,10239018,239018
73,10000000,10301161,301161
74,10000000,10196182,196182
75,10000000,10217221,217221
76,10000000,10258480,258480
77,10000000,10237930,237930
78,10000000,10253792,253792
79,10000000,10183196,183196
80,10000000,10213274,213274
81,10000000,10247339,247339
82,10000000,10195970,195970
83,10000000,10260975,260975
84,10000000,10221678,221678
85,10000000,10283759,283759
86,10000000,10176785,176785
87,10000000,10268508,268508
88,10000000,10253280,253280
89,10000000,10230136,230136
90,10000000,10158650,158650
91,10000000,10215978,215978
92,10000000,10629717,629717
93,10000000,10520660,520660
94,10000000,10320623,320623
95,10000000,10335041,335041
96,10000000,10182075,182075
97,10000000,10219103,219103
98,10000000,10149633,149633
99,10000000,10224045,224045
100,10000000,10165372,165372
