trial,requested_ns,actual_ns,error_ns
1,100000000,100134382,134382
2,100000000,100118806,118806
3,100000000,100106812,106812
4,100000000,100110595,110595
5,100000000,100103349,103349
6,100000000,100100731,100731
7,100000000,100140902,140902
8,100000000,100126724,126724
9,100000000,100130508,130508
10,100000000,100107625,107625
11,100000000,100039871,39871
12,100000000,100110449,110449
13,100000000,100114265,114265
14,100000000,100104790,104790
15,100000000,100104518,104518
16,100000000,100105988,105988
17,100000000,100122031,122031
18,100000000,100109659,109659
19,100000000,100108639,108639
20,100000000,100104926,104926
21,100000000,100105356,105356
22,100000000,100105527,105527
23,100000000,100120810,120810
24,100000000,100121928,121928
25,100000000,100100003,100003
26,100000000,100101403,101403
27,100000000,100123532,123532
28,100000000,100128020,128020
29,100000000,100116323,116323
30,100000000,100112671,112671
31,100000000,100118005,118005
32,100000000,100122700,122700
33,100000000,100142977,142977
34,100000000,100111659,111659
35,100000000,101364137,1364137
36,100000000,100101609,101609
37,100000000,100121478,121478
38,100000000,100314852,314852
39,100000000,100217285,217285
40,100000000,100114394,114394
41,100000000,100134011,134011
42,100000000,100167875,167875
43,100000000,100127680,127680
44,100000000,100106288,106288
45,100000000,100117660,117660
46,100000000,100113623,113623
47,100000000,100337235,337235
48,100000000,100130079,130079
49,100000000,100118678,118678
50,100000000,100119827,119827
51,100000000,100114862,114862
52,100000000,100138290,138290
53,100000000,100130057,130057
54,100000000,100111404,111404
55,100000000,100092726,92726
56,100000000,100102561,102561
57,100000000,100616562,616562
58,100000000,100105513,105513
59,100000000,100102491,102491
60,100000000,100114930,114930
61,100000000,100107649,107649
62,100000000,100108098,108098
63,100000000,100102260,102260
64,100000000,100104425,104425
65,100000000,100103556,103556
66,100000000,100112367,112367
67,100000000,100121338,121338
68,100000000,100113226,113226
69,100000000,100101306,101306
70,100000000,100098176,98176
71,100000000,100103049,103049
72,100000000,100095677,95677
73,100000000,100100424,100424
74,100000000,100093445,93445
75,100000000,100106758,106758
76,100000000,100101372,101372
77,100000000,100108066,108066
78,100000000,100119598,119598
79,100000000,101642560,1642560
80,100000000,100104761,104761
81,100000000,100110781,110781
82,100000000,100091310,91310
83,100000000,100106788,106788
84,100000000,100110621,110621
85,100000000,100115219,115219
86,100000000,100122664,122664
87,100000000,100133630,133630
88,100000000,100121686,121686
89,100000000,100104878,104878
90,100000000,100132183,132183
91,100000000,100119647,119647
92,100000000,100102532,102532
93,100000000,100115163,115163
94,100000000,100115229,115229
95,100000000,100114438,114438
96,100000000,100107912,107912
97,100000000,100121405,121405
98,100000000,100119427,119427
99,100000000,100111809,111809
100,100000000,100112728,112728
101,100000000,100173696,173696
102,100000000,100114701,114701
103,100000000,100103007,103007
104,100000000,100099766,99766
105,100000000,100098941,98941
106,100000000,100106974,106974
107,100000000,100115787,115787
108,100000000,100108119,108119
109,100000000,100107358,107358
110,100000000,100098040,98040
111,100000000,100104743,104743
112,100000000,100081315,81315
113,100000000,100166775,166775
114,100000000,100107177,107177
115,100000000,100104723,104723
116,100000000,100128277,128277
117,100000000,100105911,105911
118,100000000,100123762,123762
119,100000000,100103951,103951
120,100000000,100107830,107830
121,100000000,100102097,102097
122,100000000,100095706,95706
123,100000000,102832853,2832853
124,100000000,100100921,100921
125,100000000,100103894,103894
126,100000000,100100943,100943
127,100000000,100112561,112561
128,100000000,100174436,174436
129,100000000,100121135,121135
130,100000000,100115439,115439
131,100000000,100110016,110016
132,100000000,100091675,91675
133,100000000,100104517,104517
134,100000000,100109751,109751
135,100000000,100161061,161061
136,100000000,100115383,115383
137,100000000,100109392,109392
138,100000000,100104297,104297
139,100000000,100131648,131648
140,100000000,100148927,148927
141,100000000,100112407,112407
142,100000000,100108641,108641
143,100000000,100105675,105675
144,100000000,101164893,1164893
145,100000000,104268749,4268749
146,100000000,100143323,143323
147,100000000,100092783,92783
148,100000000,100119242,119242
149,100000000,100237504,237504
150,100000000,100103417,103417
151,100000000,100103414,103414
152,100000000,100097796,97796
153,100000000,100099343,99343
154,100000000,100104175,104175
155,100000000,100101594,101594
156,100000000,100107251,107251
157,100000000,100095625,95625
158,100000000,100111888,111888
159,100000000,100118789,118789
160,100000000,100101772,101772
161,100000000,100104986,104986
162,100000000,100097306,97306
163,100000000,100102499,102499
164,100000000,100101821,101821
165,100000000,100102349,102349
166,100000000,100120238,120238
167,100000000,101446835,1446835
168,100000000,100101165,101165
169,100000000,100099853,99853
170,100000000,100119722,119722
171,100000000,100162523,162523
172,100000000,100110503,110503
173,100000000,100122366,122366
174,100000000,100111516,111516
175,100000000,100105264,105264
176,100000000,100108671,108671
177,100000000,100092166,92166
178,100000000,100123409,123409
179,100000000,100102765,102765
180,100000000,100092956,92956
181,100000000,100103991,103991
182,100000000,100109533,109533
183,100000000,100108251,108251
184,100000000,100110324,110324
185,100000000,100090714,90714
186,100000000,100099998,99998
187,100000000,100100606,100606
188,100000000,100157817,157817
189,100000000,100117316,117316
190,100000000,101390200,1390200
191,100000000,100099453,99453
192,100000000,100097981,97981
193,100000000,100484542,484542
194,100000000,100110924,110924
195,100000000,100169968,169968
196,100000000,100150853,150853
197,100000000,100132837,132837
198,100000000,100156853,156853
199,100000000,100115203,115203
200,100000000,100124422,124422
201,100000000,100163325,163325
202,100000000,100121896,121896
203,100000000,100163275,163275
204,100000000,100112799,112799
205,100000000,100109363,109363
206,100000000,100136272,136272
207,100000000,100132025,132025
208,100000000,100147386,147386
209,100000000,100131635,131635
210,100000000,100125533,125533
211,100000000,100377925,377925
212,100000000,100164097,164097
213,100000000,100100817,100817
214,100000000,100133428,133428
215,100000000,100097090,97090
216,100000000,100119893,119893
217,100000000,100121215,121215
218,100000000,100151344,151344
219,100000000,100113741,113741
220,100000000,100108932,108932
221,100000000,100124331,124331
222,100000000,100122156,122156
223,100000000,100201700,201700
224,100000000,100170550,170550
225,100000000,100109211,109211
226,100000000,100159649,159649
227,100000000,100639152,639152
228,100000000,100117499,117499
229,100000000,100111345,111345
230,100000000,100108427,108427
231,100000000,100106006,106006
232,100000000,100108330,108330
233,100000000,100105319,105319
234,100000000,100087030,87030
235,100000000,100117377,117377
236,100000000,100122579,122579
237,100000000,100126736,126736
238,100000000,100169056,169056
239,100000000,100212560,212560
240,100000000,100137896,137896
241,100000000,100103131,103131
242,100000000,100102799,102799
243,100000000,100125064,125064
244,100000000,100110624,110624
245,100000000,100110966,110966
246,100000000,100123570,123570
247,100000000,100108808,108808
248,100000000,100106598,106598
249,100000000,100109626,109626
250,100000000,100109624,109624
251,100000000,100119071,119071
252,100000000,100102249,102249
253,100000000,100165160,165160
254,100000000,100141434,141434
255,100000000,100120694,120694
256,100000000,100090807,90807
257,100000000,100104899,104899
258,100000000,100118609,118609
259,100000000,100111902,111902
260,100000000,100098179,98179
261,100000000,100107106,107106
262,100000000,100116095,116095
263,100000000,100133181,133181
264,100000000,100109971,109971
265,100000000,100102061,102061
266,100000000,100118006,118006
267,100000000,100105809,105809
268,100000000,100126351,126351
269,100000000,100108885,108885
270,100000000,100436455,436455
271,100000000,100104048,104048
272,100000000,100102634,102634
273,100000000,100150871,150871
274,100000000,100104489,104489
275,100000000,100111872,111872
276,100000000,100103096,103096
277,100000000,100104066,104066
278,100000000,100097200,97200
279,100000000,100100883,100883
280,100000000,100101350,101350
281,100000000,100108281,108281
282,100000000,100129301,129301
283,100000000,100147171,147171
284,100000000,106461348,6461348
285,100000000,100117246,117246
286,100000000,100121747,121747
287,100000000,100108877,108877
288,100000000,100111689,111689
289,100000000,100108080,108080
290,100000000,100120104,120104
291,100000000,100101116,101116
292,100000000,100109352,109352
293,100000000,103029186,3029186
294,100000000,100111953,111953
295,100000000,100139602,139602
296,100000000,100163327,163327
297,100000000,100133137,133137
298,100000000,100134200,134200
299,100000000,100125028,125028
300,100000000,100096913,96913
301,100000000,100100712,100712
302,100000000,100101176,101176
303,100000000,100111090,111090
304,100000000,100120003,120003
305,100000000,100113107,113107
306,100000000,100110626,110626
307,100000000,100107113,107113
308,100000000,100132476,132476
309,100000000,100123544,123544
310,100000000,100114430,114430
311,100000000,100102721,102721
312,100000000,100119731,119731
313,100000000,100104262,104262
314,100000000,101149835,1149835
315,100000000,100108891,108891
316,100000000,100103440,103440
317,100000000,100103211,103211
318,100000000,100126276,126276
319,100000000,100124762,124762
320,100000000,100115323,115323
321,100000000,100143024,143024
322,100000000,103342276,3342276
323,100000000,100086332,86332
324,100000000,100104592,104592
325,100000000,100111413,111413
326,100000000,100107650,107650
327,100000000,100098525,98525
328,100000000,100094398,94398
329,100000000,100097653,97653
330,100000000,100092093,92093
331,100000000,100108417,108417
332,100000000,100097038,97038
333,100000000,100094116,94116
334,100000000,100095219,95219
335,100000000,100110472,110472
336,100000000,100106809,106809
337,100000000,100102143,102143
338,100000000,100830922,830922
339,100000000,100142611,142611
340,100000000,100121770,121770
341,100000000,100147309,147309
342,100000000,100122277,122277
343,100000000,100116785,116785
344,100000000,100121259,121259
345,100000000,100085481,85481
346,100000000,100107098,107098
347,100000000,100111224,111224
348,100000000,100116019,116019
349,100000000,100114688,114688
350,100000000,100105419,105419
351,100000000,100119015,119015
352,100000000,100110765,110765
353,100000000,100109952,109952
354,100000000,100100980,100980
355,100000000,100120720,120720
356,100000000,100116982,116982
357,100000000,100110629,110629
358,100000000,100110720,110720
359,100000000,100101000,101000
360,100000000,100103035,103035
361,100000000,100115364,115364
362,100000000,100097427,97427
363,100000000,100103456,103456
364,100000000,100101188,101188
365,100000000,100128077,128077
366,100000000,100139144,139144
367,100000000,100413176,413176
368,100000000,103751457,3751457
369,100000000,100126039,126039
370,100000000,100107269,107269
371,100000000,100105623,105623
372,100000000,100109679,109679
373,100000000,100116316,116316
374,100000000,100095364,95364
375,100000000,100098172,98172
376,100000000,100130200,130200
377,100000000,100099238,99238
378,100000000,100112483,112483
379,100000000,100106402,106402
380,100000000,100098955,98955
381,100000000,100091953,91953
382,100000000,100113575,113575
383,100000000,100157981,157981
384,100000000,100148961,148961
385,100000000,100123840,123840
386,100000000,100125251,125251
387,100000000,100095501,95501
388,100000000,100105930,105930
389,100000000,100626303,626303
390,100000000,100111271,111271
391,100000000,100108501,108501
392,100000000,100105534,105534
393,100000000,104615954,4615954
394,100000000,100119224,119224
395,100000000,100120207,120207
396,100000000,100113054,113054
397,100000000,100108937,108937
398,100000000,100111942,111942
399,100000000,100106238,106238
400,100000000,100106472,106472
401,100000000,100110088,110088
402,100000000,100121109,121109
403,100000000,100115703,115703
404,100000000,100110626,110626
405,100000000,100106922,106922
406,100000000,100120669,120669
407,100000000,100101885,101885
408,100000000,100035162,35162
409,100000000,100105853,105853
410,100000000,100099539,99539
411,100000000,103830023,3830023
412,100000000,103037240,3037240
413,100000000,100100769,100769
414,100000000,100104359,104359
