trial,requested_ns,actual_ns,error_ns
1,100000000,100123431,123431
2,100000000,100096929,96929
3,100000000,100149149,149149
4,100000000,100099434,99434
5,100000000,100410983,410983
6,100000000,100166547,166547
7,100000000,100114092,114092
8,100000000,100100115,100115
9,100000000,100182983,182983
10,100000000,100098262,98262
11,100000000,100126254,126254
12,100000000,100105826,105826
13,100000000,100107580,107580
14,100000000,100152290,152290
15,100000000,100164969,164969
16,100000000,100154895,154895
17,100000000,100097811,97811
18,100000000,100131575,131575
19,100000000,100097130,97130
20,100000000,100097169,97169
21,100000000,100113229,113229
22,100000000,100239723,239723
23,100000000,100151112,151112
24,100000000,100132426,132426
25,100000000,100159920,159920
26,100000000,100101447,101447
27,100000000,100113220,113220
28,100000000,100093253,93253
29,100000000,100208662,208662
30,100000000,100134661,134661
31,100000000,100100186,100186
32,100000000,100214192,214192
33,100000000,100102138,102138
34,100000000,100163687,163687
35,100000000,100140903,140903
36,100000000,100091358,91358
37,100000000,100195368,195368
38,100000000,100095126,95126
39,100000000,100160300,160300
40,100000000,100102881,102881
41,100000000,100166121,166121
42,100000000,100181956,181956
43,100000000,100120248,120248
44,100000000,100161409,161409
45,100000000,100126550,126550
46,100000000,100163116,163116
47,100000000,100136024,136024
48,100000000,100117537,117537
49,100000000,100202050,202050
50,100000000,100136805,136805
51,100000000,100132236,132236
52,100000000,100163587,163587
53,100000000,100181761,181761
54,100000000,100098602,98602
55,100000000,100194165,194165
56,100000000,100163566,163566
57,100000000,100092621,92621
58,100000000,100099945,99945
59,100000000,100094145,94145
60,100000000,100280078,280078
61,100000000,100092532,92532
62,100000000,100095347,95347
63,100000000,100112188,112188
64,100000000,100153588,153588
65,100000000,100112409,112409
66,100000000,100142266,142266
67,100000000,100247637,247637
68,100000000,100122950,122950
69,100000000,100093884,93884
70,100000000,100159549,159549
71,100000000,100116547,116547
72,100000000,100093683,93683
73,100000000,100092020,92020
74,100000000,100210277,210277
75,100000000,100128570,128570
76,100000000,100136094,136094
77,100000000,100173366,173366
78,100000000,100134246,134246
79,100000000,100119618,119618
80,100000000,100092792,92792
81,100000000,100173231,173231
82,100000000,100256524,256524
83,100000000,100173455,173455
84,100000000,100110470,110470
85,100000000,100136993,136993
86,100000000,100143473,143473
87,100000000,100230339,230339
88,100000000,100193969,193969
89,100000000,100127638,127638
90,100000000,100094034,94034
91,100000000,100095877,95877
92,100000000,100163738,163738
93,100000000,100098242,98242
94,100000000,100096298,96298
95,100000000,100099053,99053
96,100000000,100096339,96339
97,100000000,100113842,113842
98,100000000,100160461,160461
99,100000000,100165420,165420
100,100000000,100091519,91519
101,100000000,100091939,91939
102,100000000,100097351,97351
103,100000000,100182994,182994
104,100000000,100114493,114493
105,100000000,100168917,168917
106,100000000,100140774,140774
107,100000000,100101097,101097
108,100000000,100088833,88833
109,100000000,100200747,200747
110,100000000,100102581,102581
111,100000000,100101990,101990
112,100000000,100206870,206870
113,100000000,100139831,139831
114,100000000,100124752,124752
115,100000000,100158554,158554
116,100000000,100167534,167534
117,100000000,100169062,169062
118,100000000,100100186,100186
119,100000000,100155852,155852
120,100000000,100207080,207080
121,100000000,100118642,118642
122,100000000,100228180,228180
123,100000000,100154810,154810
124,100000000,100088982,88982
125,100000000,100110352,110352
126,100000000,100123798,123798
127,100000000,100131662,131662
128,100000000,100127283,127283
129,100000000,100123908,123908
130,100000000,100095315,95315
131,100000000,100112086,112086
132,100000000,100100954,100954
133,100000000,100098549,98549
134,100000000,100148415,148415
135,100000000,100158584,158584
136,100000000,100125775,125775
137,100000000,100155273,155273
138,100000000,100093146,93146
139,100000000,100101780,101780
140,100000000,100095148,95148
141,100000000,100091591,91591
142,100000000,100090819,90819
143,100000000,100089307,89307
144,100000000,100087634,87634
145,100000000,100283270,283270
146,100000000,100098464,98464
147,100000000,100089267,89267
148,100000000,100192545,192545
149,100000000,100158790,158790
150,100000000,100096681,96681
151,100000000,100111640,111640
152,100000000,100099836,99836
153,100000000,100157397,157397
154,100000000,100099662,99662
155,100000000,100092658,92658
156,100000000,100116845,116845
157,100000000,100095645,95645
158,100000000,100092538,92538
159,100000000,100161621,161621
160,100000000,100105413,105413
161,100000000,100097729,97729
162,100000000,100117144,117144
163,100000000,100163854,163854
164,100000000,100189042,189042
165,100000000,100145739,145739
166,100000000,100098850,98850
167,100000000,100096365,96365
168,100000000,100211797,211797
169,100000000,100197609,197609
170,100000000,100108970,108970
171,100000000,100129880,129880
172,100000000,100164215,164215
173,100000000,100212978,212978
174,100000000,100087349,87349
175,100000000,100091917,91917
176,100000000,100090114,90114
177,100000000,100288952,288952
178,100000000,100096587,96587
179,100000000,100192138,192138
180,100000000,100091757,91757
181,100000000,100094041,94041
