trial,requested_ns,actual_ns,error_ns
1,100000,4548838,4448838
2,100000,162880,62880
3,100000,180595,80595
4,100000,163502,63502
5,100000,160656,60656
6,100000,191665,91665
7,100000,167259,67259
8,100000,165666,65666
9,100000,163060,63060
10,100000,160406,60406
11,100000,161076,61076
12,100000,161368,61368
13,100000,159674,59674
14,100000,159634,59634
15,100000,205051,105051
16,100000,159584,59584
17,100000,163592,63592
18,100000,163472,63472
19,100000,164493,64493
20,100000,160586,60586
21,100000,170365,70365
22,100000,162740,62740
23,100000,159975,59975
24,100000,160575,60575
25,100000,118025,18025
26,100000,163361,63361
27,100000,257701,157701
28,100000,162940,62940
29,100000,160927,60927
30,100000,165465,65465
31,100000,166377,66377
32,100000,161538,61538
33,100000,175334,75334
34,100000,198199,98199
35,100000,189721,89721
36,100000,193779,93779
37,100000,171907,71907
38,100000,164824,64824
39,100000,163662,63662
40,100000,160285,60285
41,100000,163141,63141
42,100000,169743,69743
43,100000,162720,62720
44,100000,159263,59263
45,100000,164213,64213
46,100000,196574,96574
47,100000,179803,79803
48,100000,174172,74172
49,100000,197646,97646
50,100000,196384,96384
51,100000,196564,96564
52,100000,197796,97796
53,100000,197276,97276
54,100000,213796,113796
55,100000,201765,101765
56,100000,485726,385726
57,100000,183099,83099
58,100000,1034772,934772
59,100000,3514857,3414857
60,100000,197997,97997
61,100000,433366,333366
62,100000,277229,177229
63,100000,1586533,1486533
64,100000,2400384,2300384
65,100000,166828,66828
66,100000,160606,60606
67,100000,160777,60777
68,100000,161468,61468
69,100000,166988,66988
70,100000,163472,63472
71,100000,187808,87808
72,100000,181586,81586
73,100000,184151,84151
74,100000,181436,81436
75,100000,181426,81426
76,100000,179783,79783
77,100000,183830,83830
78,100000,195142,95142
79,100000,195602,95602
80,100000,180444,80444
81,100000,180463,80463
82,100000,181596,81596
83,100000,186676,86676
84,100000,183099,83099
85,100000,180744,80744
86,100000,179872,79872
87,100000,181255,81255
88,100000,180173,80173
89,100000,312536,212536
90,100000,170175,70175
91,100000,172679,72679
92,100000,223075,123075
93,100000,163151,63151
94,100000,164313,64313
95,100000,169483,69483
96,100000,160266,60266
97,100000,164082,64082
98,100000,164203,64203
99,100000,162349,62349
100,100000,161488,61488
101,100000,160716,60716
102,100000,160235,60235
103,100000,164393,64393
104,100000,170165,70165
105,100000,168141,68141
106,100000,167900,67900
107,100000,190694,90694
108,100000,169423,69423
109,100000,161988,61988
110,100000,166738,66738
111,100000,2347603,2247603
112,100000,187477,87477
113,100000,161097,61097
114,100000,160576,60576
115,100000,162891,62891
116,100000,160576,60576
117,100000,165566,65566
118,100000,163131,63131
119,100000,205011,105011
120,100000,162740,62740
121,100000,162179,62179
122,100000,192958,92958
123,100000,701477,601477
124,100000,164794,64794
125,100000,170284,70284
126,100000,164954,64954
127,100000,165987,65987
128,100000,180875,80875
129,100000,160927,60927
130,100000,166898,66898
131,100000,200432,100432
132,100000,492427,392427
133,100000,1035795,935795
134,100000,162029,62029
135,100000,181977,81977
136,100000,230720,130720
137,100000,163642,63642
138,100000,160716,60716
139,100000,165686,65686
