trial,requested_ns,actual_ns,error_ns
1,100000,283199,183199
2,100000,212967,112967
3,100000,193840,93840
4,100000,188559,88559
5,100000,191655,91655
6,100000,196825,96825
7,100000,180063,80063
8,100000,176456,76456
9,100000,200463,100463
10,100000,193289,93289
11,100000,234777,134777
12,100000,207355,107355
13,100000,214629,114629
14,100000,276256,176256
15,100000,212195,112195
16,100000,272059,172059
17,100000,196324,96324
18,100000,191574,91574
19,100000,181706,81706
20,100000,211062,111062
21,100000,207366,107366
22,100000,192477,92477
23,100000,194471,94471
24,100000,199120,99120
25,100000,199780,99780
26,100000,211895,111895
27,100000,182147,82147
28,100000,199099,99099
29,100000,219939,119939
30,100000,202586,102586
31,100000,195882,95882
32,100000,180895,80895
33,100000,178911,78911
34,100000,190253,90253
35,100000,192086,92086
36,100000,188920,88920
37,100000,201996,101996
38,100000,183129,83129
39,100000,183630,83630
40,100000,184221,84221
41,100000,178220,78220
42,100000,177438,77438
43,100000,198547,98547
44,100000,201615,101615
45,100000,179072,79072
46,100000,176446,76446
47,100000,191314,91314
48,100000,204579,104579
49,100000,223837,123837
50,100000,221743,121743
51,100000,199600,99600
52,100000,216773,116773
53,100000,206003,106003
54,100000,194511,94511
55,100000,216552,116552
56,100000,234026,134026
57,100000,239376,139376
58,100000,190003,90003
59,100000,190773,90773
60,100000,197276,97276
61,100000,190543,90543
62,100000,190964,90964
63,100000,192948,92948
64,100000,184321,84321
65,100000,185153,85153
66,100000,182137,82137
67,100000,182628,82628
68,100000,181937,81937
69,100000,182377,82377
70,100000,181897,81897
71,100000,161338,61338
72,100000,212826,112826
73,100000,185704,85704
74,100000,186926,86926
75,100000,186535,86535
76,100000,186886,86886
77,100000,187889,87889
78,100000,183239,83239
79,100000,183470,83470
80,100000,182107,82107
81,100000,182167,82167
82,100000,182498,82498
83,100000,181456,81456
84,100000,186616,86616
85,100000,186154,86154
86,100000,186977,86977
87,100000,265796,165796
88,100000,227524,127524
89,100000,231782,131782
90,100000,265054,165054
91,100000,254946,154946
92,100000,224798,124798
93,100000,204770,104770
94,100000,203788,103788
95,100000,212405,112405
96,100000,210602,110602
97,100000,193178,93178
98,100000,211653,111653
99,100000,245699,145699
100,100000,220630,120630
101,100000,215371,115371
102,100000,208999,108999
103,100000,203368,103368
104,100000,222644,122644
105,100000,310452,210452
106,100000,197075,97075
107,100000,189001,89001
108,100000,205001,105001
109,100000,215912,115912
110,100000,200803,100803
111,100000,209369,109369
112,100000,215712,115712
113,100000,182287,82287
114,100000,186586,86586
115,100000,187988,87988
116,100000,207034,107034
117,100000,189200,89200
118,100000,250286,150286
119,100000,236802,136802
120,100000,213927,113927
121,100000,190323,90323
122,100000,189912,89912
123,100000,182016,82016
124,100000,184732,84732
125,100000,182257,82257
126,100000,184472,84472
127,100000,196505,96505
128,100000,183710,83710
129,100000,183870,83870
130,100000,244947,144947
131,100000,284302,184302
132,100000,245639,145639
133,100000,222233,122233
134,100000,201445,101445
135,100000,200431,100431
136,100000,191205,91205
137,100000,196746,96746
138,100000,181726,81726
139,100000,182478,82478
140,100000,187086,87086
141,100000,186124,86124
142,100000,186967,86967
143,100000,188579,88579
144,100000,190063,90063
145,100000,188138,88138
146,100000,190363,90363
147,100000,185924,85924
148,100000,182438,82438
149,100000,140488,40488
150,100000,183810,83810
151,100000,187097,87097
152,100000,183349,83349
153,100000,182959,82959
154,100000,182288,82288
155,100000,182067,82067
156,100000,182588,82588
157,100000,181676,81676
158,100000,182468,82468
159,100000,181386,81386
160,100000,186695,86695
161,100000,189492,89492
162,100000,186695,86695
163,100000,187037,87037
164,100000,186886,86886
165,100000,186145,86145
166,100000,187186,87186
167,100000,186325,86325
168,100000,187167,87167
169,100000,186045,86045
170,100000,186946,86946
171,100000,196765,96765
172,100000,189551,89551
173,100000,183620,83620
174,100000,182137,82137
175,100000,182387,82387
176,100000,187267,87267
177,100000,182979,82979
178,100000,186095,86095
179,100000,204169,104169
180,100000,270886,170886
181,100000,250337,150337
182,100000,202806,102806
183,100000,236581,136581
184,100000,229256,129256
185,100000,270797,170797
186,100000,189862,89862
187,100000,230168,130168
188,100000,206955,106955
189,100000,288429,188429
190,100000,197897,97897
191,100000,184872,84872
192,100000,228475,128475
193,100000,212846,112846
194,100000,302636,202636
195,100000,198048,98048
196,100000,507166,407166
197,100000,278612,178612
198,100000,181486,81486
199,100000,179943,79943
200,100000,180324,80324
201,100000,179121,79121
202,100000,180273,80273
203,100000,186746,86746
204,100000,183660,83660
205,100000,184071,84071
206,100000,184562,84562
207,100000,226847,126847
208,100000,246295,146295
209,100000,181796,81796
210,100000,185033,85033
211,100000,184702,84702
212,100000,183229,83229
213,100000,184522,84522
214,100000,183349,83349
215,100000,184542,84542
216,100000,187417,87417
217,100000,183550,83550
218,100000,184261,84261
219,100000,184451,84451
220,100000,182809,82809
221,100000,184472,84472
222,100000,183019,83019
223,100000,184401,84401
224,100000,187528,87528
225,100000,184271,84271
226,100000,184702,84702
227,100000,186405,86405
228,100000,195713,95713
229,100000,183911,83911
230,100000,180403,80403
231,100000,179061,79061
232,100000,180033,80033
233,100000,179041,79041
234,100000,180224,80224
235,100000,190724,90724
236,100000,190062,90062
237,100000,186886,86886
238,100000,187037,87037
239,100000,186315,86315
240,100000,186916,86916
241,100000,186215,86215
242,100000,187167,87167
243,100000,180915,80915
244,100000,182187,82187
245,100000,181896,81896
246,100000,182438,82438
247,100000,181587,81587
248,100000,182288,82288
249,100000,216794,116794
250,100000,198919,98919
251,100000,180995,80995
252,100000,181947,81947
