trial,requested_ns,actual_ns,error_ns
1,100000,197597,97597
2,100000,176106,76106
3,100000,173551,73551
4,100000,177609,77609
5,100000,174603,74603
6,100000,178350,78350
7,100000,199756,99756
8,100000,181927,81927
9,100000,178461,78461
10,100000,180103,80103
11,100000,180093,80093
12,100000,179842,79842
13,100000,209349,109349
14,100000,216076,116076
15,100000,223726,123726
16,100000,224507,124507
17,100000,220700,120700
18,100000,225009,125009
19,100000,221171,121171
20,100000,177368,77368
21,100000,176396,76396
22,100000,190043,90043
23,100000,180073,80073
24,100000,178159,78159
25,100000,192206,92206
26,100000,177799,77799
27,100000,193538,93538
28,100000,200051,100051
29,100000,194319,94319
30,100000,185735,85735
31,100000,190022,90022
32,100000,229126,129126
33,100000,173291,73291
34,100000,189958,89958
35,100000,179993,79993
36,100000,177879,77879
37,100000,189044,89044
38,100000,187463,87463
39,100000,185874,85874
40,100000,184416,84416
41,100000,188485,88485
42,100000,181386,81386
43,100000,185808,85808
44,100000,191571,91571
45,100000,455198,355198
46,100000,187582,87582
47,100000,190784,90784
48,100000,194800,94800
49,100000,186786,86786
50,100000,229958,129958
51,100000,195032,95032
52,100000,215210,115210
53,100000,206574,106574
54,100000,208768,108768
55,100000,191816,91816
56,100000,197176,97176
57,100000,190633,90633
58,100000,196856,96856
59,100000,190383,90383
60,100000,194600,94600
61,100000,198408,98408
62,100000,187396,87396
63,100000,177970,77970
64,100000,198799,98799
65,100000,195472,95472
66,100000,177258,77258
67,100000,182217,82217
68,100000,172920,72920
69,100000,206504,106504
70,100000,185549,85549
71,100000,187632,87632
72,100000,171633,71633
73,100000,178029,78029
74,100000,192136,92136
75,100000,217835,117835
76,100000,228438,128438
77,100000,177188,77188
78,100000,181427,81427
79,100000,190333,90333
80,100000,182057,82057
81,100000,180694,80694
82,100000,186365,86365
83,100000,198258,98258
84,100000,197575,97575
85,100000,190594,90594
86,100000,191615,91615
87,100000,226672,126672
88,100000,213597,113597
89,100000,183145,83145
90,100000,192721,92721
91,100000,199691,99691
92,100000,208177,108177
93,100000,188209,88209
94,100000,192246,92246
95,100000,188710,88710
