trial,requested_ns,actual_ns,error_ns
1,1000000,1272886,272886
2,1000000,1129663,129663
3,1000000,1123552,123552
4,1000000,1176843,176843
5,1000000,1206971,206971
6,1000000,1339754,339754
7,1000000,1130104,130104
8,1000000,1610159,610159
9,1000000,1133561,133561
10,1000000,1158017,158017
11,1000000,1174018,174018
12,1000000,1210868,210868
13,1000000,1130234,130234
14,1000000,1126046,126046
15,1000000,1163528,163528
16,1000000,1104526,104526
17,1000000,1143249,143249
18,1000000,1214915,214915
19,1000000,1151435,151435
20,1000000,1124032,124032
21,1000000,1904990,904990
22,1000000,1551137,551137
23,1000000,1189848,189848
24,1000000,1044431,44431
25,1000000,1182824,182824
26,1000000,1127338,127338
27,1000000,1130575,130575
28,1000000,1121207,121207
29,1000000,1342600,342600
30,1000000,1466135,466135
31,1000000,1136887,136887
32,1000000,1329203,329203
33,1000000,1661476,661476
34,1000000,1113202,113202
35,1000000,1135244,135244
36,1000000,1193945,193945
37,1000000,1137168,137168
38,1000000,1121438,121438
39,1000000,1133320,133320
40,1000000,1161975,161975
41,1000000,1134894,134894
42,1000000,1137187,137187
43,1000000,1178796,178796
44,1000000,1061383,61383
45,1000000,1197684,197684
46,1000000,1183065,183065
47,1000000,1163818,163818
48,1000000,1134302,134302
49,1000000,1163498,163498
50,1000000,1169098,169098
51,1000000,1104375,104375
52,1000000,1140723,140723
53,1000000,1150724,150724
54,1000000,1244763,244763
55,1000000,1151856,151856
56,1000000,1237439,237439
57,1000000,1201199,201199
58,1000000,1196270,196270
59,1000000,1151374,151374
60,1000000,1136466,136466
61,1000000,1096309,96309
62,1000000,1219846,219846
63,1000000,1171723,171723
64,1000000,1167476,167476
65,1000000,1188836,188836
66,1000000,1182363,182363
67,1000000,1149802,149802
68,1000000,1177639,177639
69,1000000,1223648,223648
70,1000000,1137528,137528
71,1000000,1178326,178326
72,1000000,1185289,185289
73,1000000,1127724,127724
74,1000000,1234879,234879
75,1000000,1136917,136917
76,1000000,1131176,131176
77,1000000,1131557,131557
78,1000000,1255363,255363
79,1000000,1165822,165822
80,1000000,1135885,135885
81,1000000,1133230,133230
82,1000000,1177244,177244
83,1000000,1127699,127699
84,1000000,1135445,135445
85,1000000,1051675,51675
86,1000000,1130104,130104
87,1000000,1154710,154710
88,1000000,1126978,126978
89,1000000,1279228,279228
90,1000000,1160792,160792
91,1000000,1165662,165662
92,1000000,1136766,136766
93,1000000,1168848,168848
94,1000000,1166042,166042
95,1000000,1181132,181132
96,1000000,1122429,122429
97,1000000,1163147,163147
98,1000000,1078516,78516
99,1000000,1128020,128020
100,1000000,1074437,74437
101,1000000,1182935,182935
102,1000000,1157787,157787
103,1000000,1122169,122169
104,1000000,1119583,119583
105,1000000,1177574,177574
106,1000000,1129063,129063
107,1000000,1132017,132017
108,1000000,1149721,149721
109,1000000,1213964,213964
110,1000000,1130836,130836
111,1000000,1179699,179699
112,1000000,1073336,73336
113,1000000,1089477,89477
114,1000000,1118511,118511
115,1000000,1108713,108713
116,1000000,1109314,109314
117,1000000,1150803,150803
118,1000000,1089787,89787
119,1000000,1148109,148109
120,1000000,1098784,98784
121,1000000,1178666,178666
122,1000000,1170561,170561
123,1000000,1173897,173897
124,1000000,1120356,120356
125,1000000,1195698,195698
126,1000000,1199016,199016
127,1000000,1142287,142287
128,1000000,1208373,208373
129,1000000,1178757,178757
130,1000000,1189387,189387
131,1000000,1140364,140364
132,1000000,1138771,138771
133,1000000,1170881,170881
134,1000000,1202923,202923
135,1000000,1136957,136957
136,1000000,1251946,251946
137,1000000,1159570,159570
138,1000000,1126397,126397
139,1000000,1173687,173687
140,1000000,1234673,234673
141,1000000,1241446,241446
142,1000000,1177325,177325
143,1000000,1163848,163848
144,1000000,1162185,162185
145,1000000,1195729,195729
146,1000000,1243830,243830
147,1000000,1262145,262145
148,1000000,1187173,187173
149,1000000,1148849,148849
150,1000000,1188426,188426
151,1000000,1148920,148920
152,1000000,1128370,128370
153,1000000,1176472,176472
154,1000000,1103312,103312
155,1000000,1806954,806954
156,1000000,1132469,132469
157,1000000,1123411,123411
158,1000000,1102561,102561
159,1000000,1167825,167825
160,1000000,1173968,173968
161,1000000,1134302,134302
162,1000000,1095818,95818
163,1000000,1157636,157636
164,1000000,1170521,170521
165,1000000,1115386,115386
166,1000000,1121327,121327
167,1000000,1150793,150793
168,1000000,1171403,171403
169,1000000,1196600,196600
170,1000000,1244582,244582
171,1000000,1204977,204977
172,1000000,1415532,415532
173,1000000,1233455,233455
174,1000000,1182824,182824
175,1000000,1156805,156805
176,1000000,1191561,191561
177,1000000,1224975,224975
178,1000000,1203354,203354
179,1000000,1147187,147187
180,1000000,1131386,131386
181,1000000,1225646,225646
182,1000000,1205047,205047
183,1000000,1243560,243560
184,1000000,1201320,201320
185,1000000,1151545,151545
186,1000000,1241496,241496
187,1000000,1214755,214755
188,1000000,1166404,166404
189,1000000,1210296,210296
190,1000000,1198564,198564
191,1000000,1199055,199055
192,1000000,1235330,235330
193,1000000,1113247,113247
194,1000000,1111448,111448
195,1000000,1146676,146676
196,1000000,1184307,184307
197,1000000,1148399,148399
198,1000000,1185279,185279
199,1000000,1212891,212891
200,1000000,1084507,84507
201,1000000,1086922,86922
202,1000000,1101460,101460
203,1000000,1096680,96680
204,1000000,1097441,97441
205,1000000,1091110,91110
206,1000000,1131567,131567
207,1000000,1159369,159369
208,1000000,1101539,101539
209,1000000,1228081,228081
210,1000000,1147397,147397
211,1000000,1104034,104034
212,1000000,1202592,202592
213,1000000,1148439,148439
214,1000000,1243020,243020
