delay,requested_ns,requested_us,load,trials,mean_error_ns,median_error_ns,p90_error_ns,p95_error_ns,p99_error_ns,min_error_ns,max_error_ns,stddev_error_ns,mean_error_us,median_error_us,p99_error_us,max_error_us
100us,100000,100.0,idle,500,100715.172,88975.5,134008.0,154332.29999999996,188571.06999999986,34727,407166,29379.608158830437,100.71517200000001,88.9755,188.57106999999985,407.166
100us,100000,100.0,moderate,500,92996.632,89052.5,110024.40000000001,124663.49999999999,157463.4099999999,14488,815024,40363.6033268163,92.99663199999999,89.0525,157.4634099999999,815.024
100us,100000,100.0,heavy,500,148736.95,80258.5,101860.10000000002,326474.69999999966,2301559.1399999987,18025,4448838,382976.3167541976,148.73695,80.2585,2301.559139999999,4448.838
1ms,1000000,1000.0,idle,500,166260.868,132960.0,225688.1,262682.0499999995,610672.1699999996,30113,3907874,225001.42465042876,166.260868,132.96,610.6721699999996,3907.874
1ms,1000000,1000.0,moderate,500,126172.468,108903.5,192837.1,217778.6999999999,413616.4299999999,20084,1180576,78835.00005485493,126.172468,108.9035,413.61642999999987,1180.576
1ms,1000000,1000.0,heavy,500,156802.292,84977.5,108745.60000000003,305498.14999999845,2990276.5199999977,27006,3364606,394564.571826294,156.802292,84.9775,2990.2765199999976,3364.606
10ms,10000000,10000.0,idle,500,309883.844,228806.5,576232.6,668971.7999999999,1261430.16,78159,1802325,213874.7965063384,309.883844,228.8065,1261.43016,1802.325
10ms,10000000,10000.0,moderate,500,156029.514,124058.0,206125.10000000003,247102.69999999937,641160.3499999997,18863,5030659,268250.166757767,156.029514,124.058,641.1603499999998,5030.659
10ms,10000000,10000.0,heavy,500,218240.926,96810.0,165945.7000000006,430899.39999999234,3710830.01,43052,6699210,608989.3462313019,218.240926,96.81,3710.8300099999997,6699.21
100ms,100000000,100000.0,idle,500,480558.2,321546.0,862866.5000000001,937353.9499999995,1941330.6799999985,93252,3469204,367249.28750244295,480.5582,321.546,1941.3306799999984,3469.204
100ms,100000000,100000.0,moderate,500,146553.63,123160.5,207044.9,226043.4499999999,411397.8299999996,77834,2516632,140354.79830764997,146.55363,123.1605,411.3978299999996,2516.632
100ms,100000000,100000.0,heavy,500,242426.454,111749.0,162437.5,438859.3499999978,3752242.659999999,35162,10831143,735051.4202824234,242.426454,111.749,3752.2426599999994,10831.143
