trial,requested_ns,actual_ns,error_ns
1,100000000,100061623,61623
2,100000000,100061497,61497
3,100000000,100060725,60725
4,100000000,100061145,61145
5,100000000,100062292,62292
6,100000000,100060510,60510
7,100000000,100059650,59650
8,100000000,100345273,345273
9,100000000,100060486,60486
10,100000000,100058377,58377
11,100000000,100414894,414894
12,100000000,100061099,61099
13,100000000,100052007,52007
14,100000000,100062243,62243
15,100000000,100060826,60826
16,100000000,100061888,61888
17,100000000,100086323,86323
18,100000000,100926960,926960
19,100000000,100062025,62025
20,100000000,100060741,60741
21,100000000,100062016,62016
22,100000000,100060531,60531
23,100000000,100061779,61779
24,100000000,102034650,2034650
25,100000000,101017996,1017996
26,100000000,100062900,62900
27,100000000,100249368,249368
28,100000000,100623930,623930
29,100000000,100061200,61200
30,100000000,100061189,61189
31,100000000,100060958,60958
32,100000000,100060851,60851
33,100000000,100060236,60236
34,100000000,100061491,61491
35,100000000,100060653,60653
36,100000000,100175046,175046
37,100000000,101012295,1012295
38,100000000,101005916,1005916
39,100000000,100177189,177189
40,100000000,100061758,61758
41,100000000,100060845,60845
42,100000000,100061504,61504
43,100000000,100060019,60019
44,100000000,100059853,59853
45,100000000,100059627,59627
46,100000000,100061100,61100
47,100000000,102426933,2426933
48,100000000,100062785,62785
49,100000000,100060849,60849
50,100000000,100060412,60412
51,100000000,100060317,60317
52,100000000,100061003,61003
53,100000000,100059186,59186
54,100000000,100325081,325081
55,100000000,100062613,62613
56,100000000,100063371,63371
57,100000000,101574195,1574195
58,100000000,100061500,61500
59,100000000,100497921,497921
60,100000000,100524246,524246
61,100000000,100738763,738763
62,100000000,100476621,476621
63,100000000,100426072,426072
64,100000000,100071940,71940
65,100000000,100062946,62946
66,100000000,100062198,62198
67,100000000,100062283,62283
68,100000000,100785561,785561
69,100000000,100065969,65969
70,100000000,100061922,61922
71,100000000,100059646,59646
72,100000000,100062869,62869
73,100000000,100061787,61787
74,100000000,100062377,62377
75,100000000,100061511,61511
76,100000000,100050951,50951
77,100000000,100059905,59905
78,100000000,100065129,65129
79,100000000,100628906,628906
80,100000000,100062700,62700
