trial,requested_ns,actual_ns,error_ns
1,100000,159165,59165
2,100000,154927,54927
3,100000,154398,54398
4,100000,153857,53857
5,100000,153775,53775
6,100000,153777,53777
7,100000,153750,53750
8,100000,153767,53767
9,100000,128298,28298
10,100000,154280,54280
11,100000,153674,53674
12,100000,153736,53736
13,100000,153773,53773
14,100000,156897,56897
15,100000,154414,54414
16,100000,154844,54844
17,100000,153834,53834
18,100000,154149,54149
19,100000,154022,54022
20,100000,153772,53772
21,100000,153763,53763
22,100000,135015,35015
23,100000,154313,54313
24,100000,153816,53816
25,100000,153775,53775
26,100000,153725,53725
27,100000,153706,53706
28,100000,153748,53748
29,100000,154334,54334
30,100000,154529,54529
31,100000,153741,53741
32,100000,153763,53763
33,100000,153778,53778
34,100000,153902,53902
35,100000,146634,46634
36,100000,154375,54375
37,100000,153760,53760
38,100000,153739,53739
39,100000,153636,53636
40,100000,153590,53590
41,100000,153568,53568
42,100000,154227,54227
43,100000,154810,54810
44,100000,154701,54701
45,100000,168646,68646
46,100000,154611,54611
47,100000,154184,54184
48,100000,146979,46979
49,100000,177626,77626
50,100000,154571,54571
51,100000,153806,53806
52,100000,153822,53822
53,100000,153706,53706
54,100000,154237,54237
55,100000,189808,89808
56,100000,156995,56995
57,100000,154591,54591
58,100000,192402,92402
59,100000,153776,53776
60,100000,153738,53738
61,100000,317018,217018
62,100000,154603,54603
63,100000,153903,53903
64,100000,154313,54313
65,100000,154502,54502
66,100000,154353,54353
67,100000,153784,53784
68,100000,153880,53880
69,100000,154782,54782
70,100000,154180,54180
71,100000,153748,53748
72,100000,175957,75957
73,100000,153996,53996
74,100000,153808,53808
75,100000,153709,53709
76,100000,154358,54358
77,100000,153746,53746
78,100000,154472,54472
79,100000,154428,54428
80,100000,153741,53741
81,100000,153748,53748
82,100000,153958,53958
83,100000,154309,54309
84,100000,153707,53707
85,100000,156005,56005
86,100000,153771,53771
87,100000,153712,53712
88,100000,153731,53731
89,100000,153735,53735
90,100000,154344,54344
91,100000,153994,53994
92,100000,154218,54218
93,100000,153781,53781
94,100000,153731,53731
95,100000,153726,53726
96,100000,153744,53744
97,100000,154283,54283
98,100000,126172,26172
99,100000,153678,53678
100,100000,153742,53742
101,100000,153732,53732
102,100000,153730,53730
103,100000,153720,53720
104,100000,154453,54453
105,100000,154511,54511
106,100000,153805,53805
107,100000,153717,53717
108,100000,153814,53814
109,100000,153927,53927
110,100000,153955,53955
111,100000,150651,50651
112,100000,153863,53863
113,100000,153924,53924
114,100000,153851,53851
115,100000,153942,53942
116,100000,153700,53700
117,100000,154346,54346
118,100000,157027,57027
119,100000,154037,54037
120,100000,154088,54088
121,100000,153777,53777
122,100000,153692,53692
123,100000,153705,53705
124,100000,144791,44791
125,100000,153744,53744
126,100000,153741,53741
127,100000,153623,53623
128,100000,153589,53589
129,100000,153584,53584
130,100000,153579,53579
131,100000,154636,54636
132,100000,153702,53702
133,100000,153592,53592
134,100000,153702,53702
135,100000,153623,53623
136,100000,153861,53861
137,100000,150434,50434
