trial,requested_ns,actual_ns,error_ns
1,100000,163385,63385
2,100000,154896,54896
3,100000,153929,53929
4,100000,137574,37574
5,100000,155446,55446
6,100000,153898,53898
7,100000,164469,64469
8,100000,155495,55495
9,100000,154079,54079
10,100000,154074,54074
11,100000,154670,54670
12,100000,154333,54333
13,100000,154444,54444
14,100000,164554,64554
15,100000,155636,55636
16,100000,155416,55416
17,100000,109648,9648
18,100000,155200,55200
19,100000,154376,54376
20,100000,154697,54697
21,100000,154717,54717
22,100000,155187,55187
23,100000,154732,54732
24,100000,154955,54955
25,100000,154956,54956
26,100000,155124,55124
27,100000,164587,64587
28,100000,155886,55886
29,100000,155684,55684
30,100000,120646,20646
31,100000,158228,58228
32,100000,155126,55126
33,100000,155509,55509
34,100000,155590,55590
35,100000,156302,56302
36,100000,157052,57052
37,100000,156943,56943
38,100000,156497,56497
39,100000,159139,59139
40,100000,158884,58884
41,100000,159078,59078
42,100000,160927,60927
43,100000,157214,57214
44,100000,156823,56823
45,100000,156561,56561
46,100000,158974,58974
47,100000,156749,56749
48,100000,156342,56342
49,100000,161912,61912
50,100000,156615,56615
51,100000,156333,56333
52,100000,156157,56157
53,100000,139529,39529
54,100000,223581,123581
55,100000,1907286,1807286
56,100000,162484,62484
57,100000,159369,59369
58,100000,158343,58343
59,100000,157269,57269
60,100000,157221,57221
61,100000,156835,56835
62,100000,158492,58492
63,100000,138032,38032
64,100000,157989,57989
65,100000,157711,57711
66,100000,156189,56189
67,100000,156049,56049
68,100000,156820,56820
69,100000,155952,55952
70,100000,156312,56312
71,100000,160951,60951
72,100000,157412,57412
73,100000,155461,55461
74,100000,155226,55226
75,100000,155104,55104
76,100000,156653,56653
77,100000,155345,55345
78,100000,154761,54761
79,100000,166680,66680
80,100000,156734,56734
81,100000,155066,55066
82,100000,210125,110125
83,100000,159016,59016
84,100000,156676,56676
85,100000,156128,56128
86,100000,155128,55128
87,100000,154922,54922
88,100000,158256,58256
89,100000,155498,55498
90,100000,155096,55096
91,100000,154491,54491
92,100000,155163,55163
93,100000,154363,54363
94,100000,154392,54392
95,100000,154901,54901
96,100000,156511,56511
97,100000,154905,54905
98,100000,154538,54538
99,100000,155965,55965
100,100000,155024,55024
101,100000,138932,38932
102,100000,155575,55575
103,100000,155808,55808
104,100000,156869,56869
105,100000,156752,56752
106,100000,156350,56350
107,100000,155254,55254
108,100000,155768,55768
109,100000,155701,55701
110,100000,155252,55252
111,100000,155107,55107
112,100000,155391,55391
113,100000,156033,56033
114,100000,135599,35599
115,100000,155582,55582
116,100000,155418,55418
117,100000,155145,55145
118,100000,155316,55316
119,100000,155053,55053
120,100000,155573,55573
121,100000,156901,56901
122,100000,155337,55337
123,100000,154729,54729
124,100000,154690,54690
125,100000,154718,54718
126,100000,155281,55281
127,100000,139707,39707
128,100000,695984,595984
129,100000,157981,57981
130,100000,116921,16921
131,100000,158200,58200
132,100000,155394,55394
133,100000,154469,54469
134,100000,154389,54389
135,100000,157351,57351
136,100000,154638,54638
137,100000,155430,55430
138,100000,154586,54586
139,100000,155001,55001
140,100000,154551,54551
141,100000,154769,54769
142,100000,154380,54380
143,100000,123349,23349
144,100000,155552,55552
145,100000,154725,54725
146,100000,154696,54696
147,100000,154670,54670
148,100000,154676,54676
149,100000,154680,54680
150,100000,155461,55461
151,100000,155580,55580
152,100000,154691,54691
153,100000,155093,55093
154,100000,155316,55316
155,100000,155218,55218
156,100000,133242,33242
157,100000,156479,56479
158,100000,156170,56170
159,100000,155679,55679
160,100000,155570,55570
161,100000,155553,55553
162,100000,156198,56198
163,100000,156159,56159
164,100000,157308,57308
165,100000,156954,56954
166,100000,156106,56106
167,100000,156136,56136
168,100000,156088,56088
169,100000,121472,21472
170,100000,157323,57323
171,100000,156082,56082
172,100000,156890,56890
173,100000,156147,56147
174,100000,156089,56089
175,100000,159302,59302
176,100000,157594,57594
177,100000,156246,56246
178,100000,157282,57282
179,100000,156086,56086
180,100000,156136,56136
181,100000,156158,56158
182,100000,156897,56897
183,100000,156915,56915
184,100000,157540,57540
185,100000,158159,58159
186,100000,156913,56913
187,100000,156805,56805
188,100000,157905,57905
189,100000,157969,57969
190,100000,157000,57000
191,100000,156900,56900
192,100000,157574,57574
193,100000,159217,59217
194,100000,152942,52942
195,100000,158452,58452
196,100000,175335,75335
197,100000,160692,60692
198,100000,159233,59233
199,100000,157048,57048
200,100000,156154,56154
201,100000,157235,57235
202,100000,156551,56551
203,100000,156202,56202
204,100000,156645,56645
205,100000,156270,56270
206,100000,155628,55628
207,100000,155695,55695
208,100000,156687,56687
209,100000,155606,55606
210,100000,155633,55633
211,100000,155663,55663
212,100000,156351,56351
213,100000,137540,37540
214,100000,156476,56476
215,100000,156143,56143
216,100000,164704,64704
217,100000,156751,56751
218,100000,156180,56180
219,100000,157701,57701
220,100000,156537,56537
221,100000,157743,57743
222,100000,156166,56166
223,100000,156142,56142
224,100000,156136,56136
225,100000,156169,56169
226,100000,158844,58844
227,100000,157899,57899
228,100000,156879,56879
229,100000,156867,56867
230,100000,156865,56865
231,100000,156842,56842
232,100000,160980,60980
233,100000,157886,57886
234,100000,156981,56981
235,100000,157222,57222
236,100000,156780,56780
237,100000,157203,57203
238,100000,157656,57656
239,100000,221361,121361
240,100000,163658,63658
241,100000,160287,60287
242,100000,160994,60994
243,100000,158083,58083
244,100000,157160,57160
245,100000,159130,59130
246,100000,169201,69201
247,100000,157850,57850
248,100000,157515,57515
249,100000,156202,56202
250,100000,156179,56179
251,100000,156636,56636
252,100000,157586,57586
253,100000,156110,56110
254,100000,156151,56151
255,100000,156102,56102
256,100000,156107,56107
257,100000,114950,14950
258,100000,156935,56935
259,100000,157163,57163
260,100000,156191,56191
261,100000,156106,56106
262,100000,156110,56110
263,100000,156137,56137
264,100000,156347,56347
265,100000,156276,56276
266,100000,157690,57690
267,100000,156798,56798
268,100000,156819,56819
269,100000,156891,56891
270,100000,113568,13568
271,100000,158110,58110
272,100000,157046,57046
273,100000,157840,57840
274,100000,156796,56796
275,100000,156837,56837
276,100000,156806,56806
277,100000,157285,57285
278,100000,160363,60363
279,100000,156869,56869
280,100000,157621,57621
281,100000,156899,56899
282,100000,156863,56863
283,100000,157973,57973
284,100000,157584,57584
285,100000,156875,56875
286,100000,156863,56863
287,100000,157872,57872
288,100000,156889,56889
289,100000,150139,50139
290,100000,157508,57508
291,100000,157381,57381
292,100000,156186,56186
293,100000,157783,57783
294,100000,157125,57125
295,100000,156463,56463
296,100000,2992598,2892598
297,100000,164262,64262
298,100000,160848,60848
299,100000,157060,57060
300,100000,156391,56391
301,100000,156677,56677
302,100000,155970,55970
303,100000,157530,57530
304,100000,180224,80224
305,100000,159487,59487
306,100000,155654,55654
307,100000,155158,55158
308,100000,154798,54798
309,100000,144115,44115
310,100000,157742,57742
311,100000,157855,57855
312,100000,1068721,968721
313,100000,160210,60210
314,100000,198816,98816
315,100000,158258,58258
316,100000,157981,57981
317,100000,156456,56456
318,100000,154648,54648
319,100000,154479,54479
320,100000,154617,54617
321,100000,154505,54505
322,100000,145247,45247
323,100000,157491,57491
324,100000,158946,58946
325,100000,191144,91144
326,100000,156075,56075
327,100000,291564,191564
328,100000,155587,55587
329,100000,154862,54862
330,100000,167530,67530
331,100000,155177,55177
332,100000,154728,54728
333,100000,154752,54752
334,100000,158265,58265
335,100000,155540,55540
336,100000,155884,55884
337,100000,155146,55146
338,100000,155098,55098
339,100000,155042,55042
340,100000,151297,51297
341,100000,155451,55451
342,100000,155581,55581
343,100000,156596,56596
344,100000,155585,55585
345,100000,156524,56524
346,100000,157992,57992
347,100000,163137,63137
348,100000,156125,56125
349,100000,156136,56136
350,100000,156870,56870
351,100000,156162,56162
352,100000,270772,170772
353,100000,158396,58396
354,100000,156198,56198
355,100000,156153,56153
356,100000,157278,57278
357,100000,156363,56363
358,100000,153706,53706
359,100000,157288,57288
360,100000,156449,56449
361,100000,156131,56131
362,100000,156162,56162
363,100000,157192,57192
364,100000,156184,56184
365,100000,156679,56679
366,100000,156888,56888
367,100000,156190,56190
368,100000,155724,55724
369,100000,155585,55585
370,100000,156243,56243
371,100000,156460,56460
372,100000,156027,56027
373,100000,155194,55194
374,100000,155111,55111
375,100000,155456,55456
376,100000,163724,63724
377,100000,169939,69939
378,100000,157226,57226
379,100000,155241,55241
380,100000,155599,55599
381,100000,155597,55597
382,100000,155700,55700
383,100000,157236,57236
384,100000,155915,55915
385,100000,156438,56438
386,100000,155665,55665
387,100000,156142,56142
388,100000,156124,56124
389,100000,156164,56164
390,100000,111636,11636
391,100000,156325,56325
392,100000,156388,56388
393,100000,156172,56172
394,100000,156120,56120
395,100000,156166,56166
396,100000,156146,56146
397,100000,158133,58133
398,100000,156924,56924
399,100000,156291,56291
400,100000,156198,56198
401,100000,156157,56157
402,100000,156219,56219
403,100000,114440,14440
404,100000,157981,57981
405,100000,158388,58388
406,100000,155856,55856
407,100000,155637,55637
408,100000,155618,55618
409,100000,156077,56077
410,100000,156848,56848
411,100000,159424,59424
412,100000,155887,55887
413,100000,155644,55644
414,100000,155626,55626
415,100000,155570,55570
416,100000,107806,7806
417,100000,155642,55642
418,100000,156154,56154
419,100000,156826,56826
420,100000,156105,56105
421,100000,156142,56142
422,100000,156553,56553
423,100000,157875,57875
424,100000,156255,56255
425,100000,158217,58217
426,100000,159067,59067
