trial,requested_ns,actual_ns,error_ns
1,100000,157300,57300
2,100000,154810,54810
3,100000,153638,53638
4,100000,153758,53758
5,100000,154649,54649
6,100000,153740,53740
7,100000,153732,53732
8,100000,154520,54520
9,100000,154216,54216
10,100000,153723,53723
11,100000,153754,53754
12,100000,154186,54186
13,100000,153719,53719
14,100000,129704,29704
15,100000,154126,54126
16,100000,153772,53772
17,100000,153727,53727
18,100000,156459,56459
19,100000,154321,54321
20,100000,153699,53699
21,100000,154535,54535
22,100000,154129,54129
23,100000,153935,53935
24,100000,153981,53981
25,100000,154614,54614
26,100000,154654,54654
27,100000,142675,42675
28,100000,153961,53961
29,100000,154049,54049
30,100000,154068,54068
31,100000,153748,53748
32,100000,153738,53738
33,100000,154381,54381
34,100000,154334,54334
35,100000,153697,53697
36,100000,153727,53727
37,100000,153712,53712
38,100000,153704,53704
39,100000,153725,53725
40,100000,149402,49402
41,100000,153916,53916
42,100000,153781,53781
43,100000,153762,53762
44,100000,154086,54086
45,100000,153728,53728
46,100000,154500,54500
47,100000,154176,54176
48,100000,153726,53726
49,100000,153951,53951
50,100000,153711,53711
51,100000,153730,53730
52,100000,154138,54138
53,100000,146616,46616
54,100000,154308,54308
55,100000,153989,53989
56,100000,154034,54034
57,100000,154012,54012
58,100000,153934,53934
59,100000,153744,53744
60,100000,154617,54617
61,100000,153938,53938
62,100000,153698,53698
63,100000,153971,53971
64,100000,153716,53716
65,100000,153901,53901
66,100000,147663,47663
67,100000,154436,54436
68,100000,154068,54068
69,100000,153674,53674
70,100000,153677,53677
71,100000,153694,53694
72,100000,153682,53682
73,100000,154477,54477
74,100000,154180,54180
75,100000,153719,53719
76,100000,153711,53711
77,100000,153686,53686
78,100000,153998,53998
79,100000,148548,48548
80,100000,153993,53993
81,100000,154547,54547
82,100000,153852,53852
83,100000,153724,53724
84,100000,153945,53945
85,100000,153778,53778
86,100000,154377,54377
87,100000,153770,53770
88,100000,154292,54292
89,100000,154137,54137
90,100000,153878,53878
91,100000,154096,54096
92,100000,146528,46528
93,100000,153690,53690
94,100000,153753,53753
95,100000,154536,54536
96,100000,154013,54013
97,100000,153728,53728
98,100000,153664,53664
99,100000,154387,54387
100,100000,153893,53893
101,100000,153719,53719
102,100000,154246,54246
103,100000,153751,53751
104,100000,153741,53741
105,100000,148139,48139
106,100000,154077,54077
107,100000,153853,53853
108,100000,153727,53727
109,100000,154384,54384
110,100000,154009,54009
111,100000,154091,54091
112,100000,154292,54292
113,100000,154889,54889
114,100000,153995,53995
115,100000,154176,54176
116,100000,153712,53712
117,100000,153619,53619
118,100000,145118,45118
119,100000,153952,53952
120,100000,153729,53729
121,100000,153711,53711
122,100000,154162,54162
123,100000,153785,53785
124,100000,153731,53731
125,100000,154100,54100
126,100000,154208,54208
127,100000,153794,53794
128,100000,153810,53810
129,100000,154188,54188
130,100000,154059,54059
131,100000,147977,47977
132,100000,154356,54356
133,100000,153793,53793
134,100000,155007,55007
135,100000,153659,53659
136,100000,154326,54326
137,100000,154076,54076
138,100000,154329,54329
139,100000,153698,53698
140,100000,153544,53544
141,100000,153581,53581
142,100000,153614,53614
143,100000,154074,54074
144,100000,147514,47514
145,100000,153954,53954
146,100000,153685,53685
147,100000,153691,53691
148,100000,153578,53578
149,100000,153632,53632
150,100000,154197,54197
151,100000,154017,54017
152,100000,153924,53924
153,100000,153724,53724
154,100000,153697,53697
155,100000,153565,53565
156,100000,154018,54018
157,100000,150811,50811
158,100000,154167,54167
159,100000,153873,53873
160,100000,153595,53595
161,100000,153579,53579
162,100000,153550,53550
163,100000,153615,53615
164,100000,154094,54094
165,100000,153763,53763
166,100000,153604,53604
167,100000,153541,53541
168,100000,153533,53533
169,100000,153620,53620
170,100000,150132,50132
171,100000,155167,55167
172,100000,153738,53738
173,100000,153609,53609
174,100000,153740,53740
175,100000,153781,53781
176,100000,153761,53761
177,100000,154705,54705
178,100000,153705,53705
179,100000,153604,53604
180,100000,153593,53593
181,100000,153588,53588
182,100000,153578,53578
183,100000,112006,12006
184,100000,153593,53593
185,100000,154343,54343
186,100000,153711,53711
187,100000,153569,53569
188,100000,153608,53608
189,100000,153596,53596
190,100000,154223,54223
191,100000,154332,54332
192,100000,153596,53596
193,100000,153719,53719
194,100000,153598,53598
195,100000,153724,53724
196,100000,150392,50392
197,100000,153904,53904
198,100000,154196,54196
199,100000,153631,53631
200,100000,153683,53683
201,100000,153668,53668
202,100000,153606,53606
203,100000,154058,54058
204,100000,153726,53726
205,100000,154196,54196
206,100000,153694,53694
207,100000,153691,53691
208,100000,153729,53729
209,100000,149485,49485
210,100000,154211,54211
211,100000,153776,53776
212,100000,154549,54549
213,100000,154082,54082
214,100000,154358,54358
215,100000,154140,54140
216,100000,154132,54132
217,100000,153772,53772
218,100000,153564,53564
219,100000,154091,54091
220,100000,153791,53791
221,100000,153684,53684
222,100000,147522,47522
223,100000,155146,55146
224,100000,153700,53700
225,100000,153763,53763
226,100000,154348,54348
227,100000,153839,53839
228,100000,154003,54003
229,100000,154216,54216
230,100000,153894,53894
231,100000,154226,54226
232,100000,153902,53902
233,100000,154338,54338
234,100000,153875,53875
235,100000,145863,45863
236,100000,154088,54088
237,100000,153702,53702
238,100000,153813,53813
239,100000,153999,53999
240,100000,154304,54304
241,100000,153810,53810
242,100000,154189,54189
243,100000,153852,53852
244,100000,153847,53847
245,100000,153905,53905
246,100000,153715,53715
247,100000,154223,54223
248,100000,146808,46808
249,100000,155148,55148
250,100000,153703,53703
251,100000,153541,53541
252,100000,153540,53540
253,100000,153679,53679
254,100000,154092,54092
255,100000,154268,54268
256,100000,153722,53722
257,100000,153562,53562
258,100000,153546,53546
259,100000,153540,53540
260,100000,154498,54498
261,100000,147130,47130
262,100000,153601,53601
263,100000,153589,53589
264,100000,153572,53572
265,100000,153614,53614
266,100000,153573,53573
267,100000,154409,54409
268,100000,154475,54475
269,100000,154018,54018
270,100000,153779,53779
271,100000,153927,53927
272,100000,153879,53879
273,100000,153746,53746
274,100000,149845,49845
275,100000,154129,54129
276,100000,153694,53694
277,100000,153729,53729
278,100000,153578,53578
279,100000,153730,53730
280,100000,153587,53587
281,100000,154760,54760
282,100000,153702,53702
283,100000,153557,53557
284,100000,153763,53763
285,100000,153646,53646
286,100000,153549,53549
287,100000,151095,51095
288,100000,154532,54532
289,100000,153826,53826
290,100000,153712,53712
291,100000,153739,53739
292,100000,153630,53630
293,100000,153949,53949
294,100000,154474,54474
295,100000,154326,54326
296,100000,153734,53734
297,100000,153783,53783
298,100000,153540,53540
299,100000,153661,53661
300,100000,146255,46255
301,100000,153953,53953
302,100000,154142,54142
303,100000,153612,53612
304,100000,153606,53606
305,100000,153664,53664
306,100000,153556,53556
307,100000,154172,54172
308,100000,153709,53709
309,100000,154284,54284
310,100000,153607,53607
311,100000,153606,53606
312,100000,153711,53711
313,100000,149826,49826
314,100000,154067,54067
315,100000,153710,53710
316,100000,154206,54206
317,100000,154017,54017
318,100000,153839,53839
319,100000,153581,53581
320,100000,154689,54689
321,100000,154527,54527
322,100000,154224,54224
323,100000,154289,54289
324,100000,153877,53877
325,100000,153687,53687
326,100000,146233,46233
327,100000,155289,55289
328,100000,153724,53724
329,100000,154269,54269
330,100000,153569,53569
