trial,requested_ns,actual_ns,error_ns
1,10000000,10062361,62361
2,10000000,10060598,60598
3,10000000,10057872,57872
4,10000000,10056561,56561
5,10000000,10056784,56784
6,10000000,10021848,21848
7,10000000,10056749,56749
8,10000000,10056741,56741
9,10000000,10056050,56050
10,10000000,10056838,56838
11,10000000,10056832,56832
12,10000000,10056702,56702
13,10000000,10056814,56814
14,10000000,10055587,55587
15,10000000,10059452,59452
16,10000000,10056901,56901
17,10000000,10056160,56160
18,10000000,10057284,57284
19,10000000,10056569,56569
20,10000000,10056604,56604
21,10000000,10056598,56598
22,10000000,10058940,58940
23,10000000,10057134,57134
24,10000000,10011463,11463
25,10000000,10055640,55640
26,10000000,10094434,94434
27,10000000,10056172,56172
28,10000000,10055866,55866
29,10000000,10056114,56114
30,10000000,10056361,56361
31,10000000,10056083,56083
32,10000000,10058108,58108
33,10000000,10057469,57469
34,10000000,10057084,57084
35,10000000,10058254,58254
36,10000000,10056075,56075
37,10000000,10056693,56693
38,10000000,10056732,56732
39,10000000,10056698,56698
40,10000000,10056741,56741
41,10000000,10035186,35186
42,10000000,10056072,56072
43,10000000,10056639,56639
44,10000000,10056249,56249
45,10000000,10062021,62021
46,10000000,10058413,58413
47,10000000,10055837,55837
48,10000000,10056964,56964
49,10000000,10055745,55745
50,10000000,10057733,57733
51,10000000,10056556,56556
52,10000000,10058175,58175
53,10000000,10057203,57203
54,10000000,10058015,58015
55,10000000,10057004,57004
56,10000000,10058433,58433
57,10000000,10057631,57631
58,10000000,10057117,57117
59,10000000,10055744,55744
60,10000000,10058709,58709
61,10000000,10057313,57313
62,10000000,10056818,56818
63,10000000,10055538,55538
64,10000000,10055574,55574
65,10000000,10054976,54976
66,10000000,10056820,56820
67,10000000,10057475,57475
68,10000000,10059725,59725
69,10000000,10059537,59537
70,10000000,10058441,58441
71,10000000,10057215,57215
72,10000000,10056585,56585
73,10000000,10060961,60961
74,10000000,10060311,60311
75,10000000,10054078,54078
76,10000000,10058324,58324
77,10000000,10133894,133894
78,10000000,10062651,62651
79,10000000,10059034,59034
80,10000000,10060081,60081
81,10000000,10066278,66278
82,10000000,10061578,61578
83,10000000,10067584,67584
84,10000000,10067267,67267
85,10000000,10062311,62311
86,10000000,10069943,69943
87,10000000,10063166,63166
88,10000000,10064656,64656
89,10000000,10043195,43195
90,10000000,10060414,60414
91,10000000,10061243,61243
92,10000000,10059506,59506
93,10000000,10061917,61917
94,10000000,10066562,66562
95,10000000,10061961,61961
96,10000000,10125743,125743
97,10000000,10061265,61265
98,10000000,10071253,71253
99,10000000,10064978,64978
100,10000000,10064683,64683
101,10000000,10068532,68532
102,10000000,10064761,64761
103,10000000,10046425,46425
104,10000000,10063956,63956
105,10000000,10061580,61580
106,10000000,10070801,70801
107,10000000,10062275,62275
108,10000000,10064203,64203
109,10000000,10072383,72383
110,10000000,10064051,64051
111,10000000,10073294,73294
112,10000000,10065397,65397
113,10000000,10064179,64179
114,10000000,10065354,65354
115,10000000,10061976,61976
116,10000000,10066039,66039
117,10000000,10065083,65083
118,10000000,10065159,65159
119,10000000,10066776,66776
120,10000000,10061851,61851
121,10000000,10068704,68704
122,10000000,10066451,66451
123,10000000,10063391,63391
124,10000000,10063497,63497
125,10000000,10063522,63522
126,10000000,10066850,66850
127,10000000,10068913,68913
128,10000000,10063861,63861
129,10000000,10065604,65604
130,10000000,10063343,63343
131,10000000,10070419,70419
132,10000000,10026335,26335
133,10000000,10063329,63329
134,10000000,10075490,75490
135,10000000,10063830,63830
136,10000000,10062089,62089
137,10000000,10065905,65905
138,10000000,10061763,61763
139,10000000,10062285,62285
140,10000000,10060273,60273
141,10000000,10064275,64275
142,10000000,10064277,64277
143,10000000,10062702,62702
144,10000000,10061440,61440
145,10000000,10059123,59123
146,10000000,10062925,62925
147,10000000,10029039,29039
148,10000000,10057539,57539
149,10000000,10059693,59693
150,10000000,10057733,57733
151,10000000,10059995,59995
152,10000000,10059693,59693
153,10000000,10060473,60473
154,10000000,10061639,61639
155,10000000,10060216,60216
156,10000000,10062069,62069
157,10000000,10062624,62624
158,10000000,10058345,58345
159,10000000,10061750,61750
160,10000000,10058930,58930
161,10000000,10062860,62860
162,10000000,10052565,52565
163,10000000,10058384,58384
164,10000000,10061611,61611
165,10000000,10059991,59991
166,10000000,10058916,58916
167,10000000,10058786,58786
168,10000000,10056376,56376
169,10000000,10057783,57783
170,10000000,10063399,63399
171,10000000,10061297,61297
172,10000000,10061629,61629
173,10000000,10059632,59632
174,10000000,10062493,62493
175,10000000,10066707,66707
176,10000000,10057422,57422
177,10000000,10060218,60218
178,10000000,10052630,52630
179,10000000,10057025,57025
180,10000000,10058481,58481
181,10000000,10056014,56014
182,10000000,10058048,58048
183,10000000,10056049,56049
184,10000000,10058003,58003
185,10000000,10061177,61177
186,10000000,10057819,57819
187,10000000,10061891,61891
188,10000000,10060557,60557
189,10000000,10061768,61768
190,10000000,10062809,62809
191,10000000,10060396,60396
192,10000000,10065997,65997
193,10000000,10059378,59378
194,10000000,10075402,75402
195,10000000,10064966,64966
196,10000000,10058893,58893
197,10000000,10059215,59215
198,10000000,10057085,57085
199,10000000,10064710,64710
200,10000000,10063082,63082
201,10000000,10058933,58933
202,10000000,10074279,74279
203,10000000,10063422,63422
204,10000000,10063939,63939
205,10000000,10063973,63973
206,10000000,10062838,62838
207,10000000,10061776,61776
208,10000000,10057744,57744
209,10000000,10059385,59385
210,10000000,10011912,11912
211,10000000,10058790,58790
212,10000000,10061684,61684
213,10000000,10058584,58584
214,10000000,10060342,60342
215,10000000,10060708,60708
216,10000000,10057011,57011
217,10000000,10059120,59120
218,10000000,10059120,59120
219,10000000,10060981,60981
220,10000000,10061422,61422
221,10000000,10059770,59770
222,10000000,10064808,64808
223,10000000,10069209,69209
224,10000000,10062322,62322
225,10000000,10063177,63177
226,10000000,10042189,42189
227,10000000,10064589,64589
228,10000000,10064917,64917
229,10000000,10062369,62369
230,10000000,10062234,62234
231,10000000,10061177,61177
232,10000000,10064839,64839
233,10000000,10061268,61268
234,10000000,10061970,61970
235,10000000,10064688,64688
236,10000000,10062429,62429
237,10000000,10063127,63127
238,10000000,10062731,62731
239,10000000,10061607,61607
240,10000000,10062165,62165
241,10000000,10063905,63905
242,10000000,10064314,64314
243,10000000,10064154,64154
244,10000000,10061647,61647
245,10000000,10063357,63357
246,10000000,10057363,57363
247,10000000,10061241,61241
248,10000000,10060850,60850
249,10000000,10059049,59049
250,10000000,10060610,60610
251,10000000,10057779,57779
252,10000000,10063410,63410
253,10000000,10061250,61250
254,10000000,10061642,61642
255,10000000,10064436,64436
256,10000000,10059600,59600
257,10000000,10049667,49667
258,10000000,10060426,60426
259,10000000,10056680,56680
260,10000000,10059082,59082
261,10000000,10057204,57204
262,10000000,10060443,60443
263,10000000,10060027,60027
264,10000000,10059752,59752
265,10000000,10064348,64348
266,10000000,10058539,58539
267,10000000,10060223,60223
268,10000000,10075018,75018
269,10000000,10061086,61086
270,10000000,10068932,68932
271,10000000,10059756,59756
272,10000000,10056761,56761
273,10000000,10045746,45746
274,10000000,10060922,60922
275,10000000,10057348,57348
276,10000000,10063080,63080
277,10000000,10057381,57381
278,10000000,10056075,56075
279,10000000,10055308,55308
280,10000000,10059083,59083
281,10000000,10059785,59785
282,10000000,10059216,59216
283,10000000,10061134,61134
284,10000000,10057622,57622
285,10000000,10062574,62574
286,10000000,10018585,18585
287,10000000,10058755,58755
288,10000000,10059982,59982
289,10000000,10057205,57205
290,10000000,10058330,58330
291,10000000,10058536,58536
292,10000000,10059292,59292
293,10000000,10058369,58369
294,10000000,10057357,57357
295,10000000,10271562,271562
296,10000000,10060141,60141
297,10000000,10057306,57306
298,10000000,10059563,59563
299,10000000,10057295,57295
300,10000000,10059439,59439
301,10000000,10061681,61681
302,10000000,10058545,58545
303,10000000,10062605,62605
304,10000000,10055697,55697
305,10000000,10059472,59472
306,10000000,10057168,57168
307,10000000,10055395,55395
308,10000000,10059830,59830
309,10000000,10056154,56154
310,10000000,10056865,56865
311,10000000,10061919,61919
312,10000000,10056595,56595
313,10000000,10058889,58889
314,10000000,10056731,56731
315,10000000,10063489,63489
316,10000000,10063072,63072
317,10000000,10057816,57816
318,10000000,10064573,64573
319,10000000,10032482,32482
320,10000000,10058943,58943
321,10000000,10056548,56548
322,10000000,10055436,55436
323,10000000,10058526,58526
324,10000000,10056288,56288
325,10000000,10055686,55686
326,10000000,10059258,59258
327,10000000,10060106,60106
328,10000000,10057550,57550
329,10000000,10067195,67195
330,10000000,10059938,59938
331,10000000,10059396,59396
332,10000000,10057534,57534
333,10000000,10059752,59752
334,10000000,10059715,59715
335,10000000,10058437,58437
336,10000000,10030028,30028
337,10000000,10056029,56029
338,10000000,10059356,59356
339,10000000,10059076,59076
340,10000000,10056210,56210
341,10000000,10055066,55066
342,10000000,10055644,55644
343,10000000,10059198,59198
344,10000000,10057277,57277
345,10000000,10056169,56169
346,10000000,10058710,58710
347,10000000,10056603,56603
348,10000000,10055921,55921
349,10000000,10060660,60660
350,10000000,10058212,58212
351,10000000,10060282,60282
352,10000000,10057298,57298
353,10000000,10053356,53356
354,10000000,10060583,60583
355,10000000,10056432,56432
356,10000000,10055620,55620
357,10000000,10055605,55605
358,10000000,10060304,60304
359,10000000,10056883,56883
360,10000000,10055581,55581
361,10000000,10058958,58958
362,10000000,10057915,57915
363,10000000,10056101,56101
364,10000000,10059819,59819
365,10000000,10056799,56799
366,10000000,10058861,58861
367,10000000,10057548,57548
368,10000000,10058250,58250
369,10000000,10060480,60480
370,10000000,10039151,39151
371,10000000,10060522,60522
372,10000000,10058032,58032
373,10000000,10060575,60575
374,10000000,10061564,61564
375,10000000,10056376,56376
376,10000000,10059119,59119
377,10000000,10059297,59297
378,10000000,10059061,59061
379,10000000,10059510,59510
380,10000000,10057057,57057
381,10000000,10058712,58712
382,10000000,10063861,63861
383,10000000,10059691,59691
384,10000000,10059565,59565
385,10000000,10057787,57787
386,10000000,10059960,59960
387,10000000,10023813,23813
388,10000000,10059983,59983
389,10000000,10059839,59839
390,10000000,10057764,57764
391,10000000,10060995,60995
392,10000000,10084542,84542
393,10000000,10059428,59428
394,10000000,10061062,61062
395,10000000,10057322,57322
396,10000000,10061571,61571
397,10000000,10060060,60060
398,10000000,10058068,58068
399,10000000,10061743,61743
400,10000000,10058315,58315
401,10000000,10066344,66344
402,10000000,10063688,63688
403,10000000,10039084,39084
404,10000000,10063723,63723
405,10000000,10059868,59868
406,10000000,10065378,65378
407,10000000,10072467,72467
408,10000000,10060221,60221
409,10000000,10064048,64048
410,10000000,10059784,59784
411,10000000,10072398,72398
412,10000000,10065553,65553
413,10000000,10064250,64250
414,10000000,10099930,99930
415,10000000,10066362,66362
416,10000000,10066851,66851
417,10000000,10043097,43097
418,10000000,10061239,61239
419,10000000,10064632,64632
420,10000000,10057325,57325
421,10000000,10072511,72511
422,10000000,10064554,64554
423,10000000,10059168,59168
424,10000000,10063278,63278
425,10000000,10059049,59049
426,10000000,10070102,70102
427,10000000,10064826,64826
428,10000000,10059714,59714
429,10000000,10062918,62918
430,10000000,10060675,60675
431,10000000,10061267,61267
432,10000000,10063369,63369
433,10000000,10057925,57925
434,10000000,10069050,69050
435,10000000,10065986,65986
436,10000000,10064529,64529
437,10000000,10062127,62127
438,10000000,10058007,58007
439,10000000,10068493,68493
440,10000000,10063242,63242
441,10000000,10058152,58152
442,10000000,10062311,62311
443,10000000,10060815,60815
444,10000000,10075773,75773
445,10000000,10062785,62785
446,10000000,10073098,73098
447,10000000,10061119,61119
448,10000000,10061183,61183
449,10000000,10068368,68368
450,10000000,10061759,61759
