trial,requested_ns,actual_ns,error_ns
1,1000000,1068994,68994
2,1000000,1216179,216179
3,1000000,1213982,213982
4,1000000,1187530,187530
5,1000000,1081006,81006
6,1000000,1085836,85836
7,1000000,3386840,2386840
8,1000000,1091333,91333
9,1000000,1210826,210826
10,1000000,1083344,83344
11,1000000,1072506,72506
12,1000000,1074199,74199
13,1000000,1082334,82334
14,1000000,1069684,69684
15,1000000,1100493,100493
16,1000000,1188546,188546
17,1000000,1069853,69853
18,1000000,1084069,84069
19,1000000,1090765,90765
20,1000000,1174172,174172
21,1000000,1069683,69683
22,1000000,1070276,70276
23,1000000,1070786,70786
24,1000000,1071572,71572
25,1000000,1070823,70823
26,1000000,1075130,75130
27,1000000,1120517,120517
28,1000000,1174000,174000
29,1000000,1193643,193643
30,1000000,1082540,82540
31,1000000,1078859,78859
32,1000000,1083181,83181
33,1000000,1096900,96900
34,1000000,1084205,84205
35,1000000,1091825,91825
36,1000000,1073629,73629
37,1000000,1059367,59367
38,1000000,1072002,72002
39,1000000,1069062,69062
40,1000000,1080198,80198
41,1000000,1071530,71530
42,1000000,1073907,73907
43,1000000,1067334,67334
44,1000000,1079537,79537
45,1000000,1075847,75847
46,1000000,1069705,69705
47,1000000,1065474,65474
48,1000000,1070617,70617
49,1000000,1164348,164348
50,1000000,1179161,179161
51,1000000,1173527,173527
52,1000000,1083315,83315
53,1000000,1079724,79724
54,1000000,1085709,85709
55,1000000,1097031,97031
56,1000000,1620319,620319
57,1000000,1066786,66786
58,1000000,1073885,73885
59,1000000,1070760,70760
60,1000000,1095843,95843
61,1000000,1070913,70913
62,1000000,1081604,81604
63,1000000,1206416,206416
64,1000000,1189649,189649
65,1000000,1072765,72765
66,1000000,1066594,66594
67,1000000,1083144,83144
68,1000000,1084204,84204
69,1000000,1101874,101874
70,1000000,1177558,177558
71,1000000,1171004,171004
72,1000000,1213928,213928
73,1000000,1136352,136352
74,1000000,1084550,84550
75,1000000,1084672,84672
76,1000000,1097268,97268
77,1000000,1080621,80621
78,1000000,1099735,99735
79,1000000,1199323,199323
80,1000000,1244049,244049
81,1000000,1126932,126932
82,1000000,1087525,87525
83,1000000,1099226,99226
84,1000000,1094987,94987
85,1000000,1412066,412066
86,1000000,1046423,46423
87,1000000,1079790,79790
88,1000000,1069494,69494
89,1000000,1066112,66112
90,1000000,1083443,83443
91,1000000,1106311,106311
92,1000000,1101719,101719
93,1000000,1213208,213208
94,1000000,1265867,265867
95,1000000,1137586,137586
96,1000000,1083580,83580
97,1000000,1085666,85666
98,1000000,1099241,99241
99,1000000,1097169,97169
100,1000000,1215859,215859
101,1000000,1160714,160714
102,1000000,1192170,192170
103,1000000,1084344,84344
104,1000000,1084454,84454
105,1000000,1091695,91695
106,1000000,1097799,97799
107,1000000,1200359,200359
108,1000000,1171673,171673
109,1000000,1225445,225445
110,1000000,1079774,79774
111,1000000,1074897,74897
112,1000000,1072075,72075
113,1000000,1070067,70067
114,1000000,1075201,75201
115,1000000,1075008,75008
116,1000000,1075072,75072
117,1000000,1162935,162935
118,1000000,1186613,186613
119,1000000,1064709,64709
120,1000000,1066574,66574
121,1000000,1067404,67404
122,1000000,1066851,66851
123,1000000,1066965,66965
124,1000000,1083829,83829
125,1000000,1096182,96182
126,1000000,1160278,160278
127,1000000,1157926,157926
128,1000000,1183141,183141
129,1000000,1066201,66201
130,1000000,1063279,63279
131,1000000,1067545,67545
132,1000000,1072467,72467
133,1000000,1109276,109276
134,1000000,1105581,105581
135,1000000,1213747,213747
136,1000000,1228396,228396
137,1000000,1104754,104754
138,1000000,1080608,80608
139,1000000,1085305,85305
140,1000000,1101513,101513
141,1000000,1098293,98293
142,1000000,1168837,168837
143,1000000,1094690,94690
144,1000000,1074900,74900
145,1000000,1088156,88156
146,1000000,1101953,101953
147,1000000,1073307,73307
148,1000000,1074492,74492
149,1000000,1075565,75565
150,1000000,1081099,81099
151,1000000,1081593,81593
152,1000000,1209430,209430
153,1000000,1199454,199454
154,1000000,1169088,169088
155,1000000,1084936,84936
156,1000000,1081618,81618
157,1000000,1079799,79799
158,1000000,1099014,99014
159,1000000,1083396,83396
160,1000000,1078153,78153
161,1000000,1077501,77501
162,1000000,1210580,210580
163,1000000,1078803,78803
164,1000000,1072512,72512
165,1000000,1084085,84085
166,1000000,1085673,85673
167,1000000,1098852,98852
168,1000000,1088445,88445
169,1000000,1206393,206393
170,1000000,1246257,246257
171,1000000,1158692,158692
172,1000000,1084445,84445
173,1000000,1093875,93875
174,1000000,1088492,88492
175,1000000,1080342,80342
176,1000000,1081129,81129
177,1000000,1198510,198510
178,1000000,1260568,260568
179,1000000,1073262,73262
180,1000000,1084691,84691
181,1000000,1101688,101688
182,1000000,1079562,79562
183,1000000,1101875,101875
184,1000000,1269138,269138
185,1000000,1245718,245718
186,1000000,1082232,82232
187,1000000,1082115,82115
188,1000000,1073184,73184
189,1000000,1103351,103351
190,1000000,1076971,76971
191,1000000,1072624,72624
192,1000000,1071254,71254
193,1000000,1073585,73585
194,1000000,1499258,499258
195,1000000,1076869,76869
196,1000000,1072568,72568
197,1000000,1094365,94365
198,1000000,1100883,100883
199,1000000,1201102,201102
200,1000000,1195687,195687
201,1000000,1064834,64834
202,1000000,1070696,70696
203,1000000,1072350,72350
204,1000000,1075074,75074
205,1000000,1066189,66189
206,1000000,1171022,171022
207,1000000,1171660,171660
208,1000000,1206542,206542
209,1000000,1095413,95413
210,1000000,1083171,83171
211,1000000,1085818,85818
212,1000000,1086622,86622
213,1000000,1082932,82932
214,1000000,1098445,98445
215,1000000,1176328,176328
216,1000000,1172079,172079
217,1000000,1173025,173025
218,1000000,1090730,90730
219,1000000,1085301,85301
220,1000000,1078987,78987
221,1000000,1085564,85564
222,1000000,1090115,90115
223,1000000,1072797,72797
224,1000000,1081204,81204
225,1000000,1079078,79078
226,1000000,1068595,68595
227,1000000,1189330,189330
228,1000000,1070046,70046
229,1000000,1074641,74641
230,1000000,1061002,61002
231,1000000,1082197,82197
232,1000000,1095106,95106
233,1000000,1097247,97247
234,1000000,1073888,73888
235,1000000,1076507,76507
236,1000000,1111629,111629
237,1000000,1196407,196407
238,1000000,1077406,77406
239,1000000,1079895,79895
240,1000000,1083297,83297
241,1000000,1100208,100208
242,1000000,1099810,99810
243,1000000,1184445,184445
244,1000000,1177666,177666
245,1000000,1194264,194264
246,1000000,1073600,73600
247,1000000,1080420,80420
248,1000000,1084097,84097
249,1000000,1100958,100958
250,1000000,1093134,93134
251,1000000,1160789,160789
252,1000000,1184259,184259
253,1000000,1175726,175726
254,1000000,1082359,82359
255,1000000,1084918,84918
256,1000000,1084482,84482
257,1000000,1098479,98479
258,1000000,1078163,78163
259,1000000,1171686,171686
260,1000000,1076194,76194
261,1000000,1097090,97090
262,1000000,1045221,45221
263,1000000,1074500,74500
264,1000000,1072125,72125
265,1000000,1065798,65798
266,1000000,1070735,70735
267,1000000,1063743,63743
268,1000000,1069211,69211
269,1000000,1093502,93502
270,1000000,1106035,106035
271,1000000,1179626,179626
272,1000000,1199707,199707
273,1000000,1116130,116130
274,1000000,1075610,75610
275,1000000,1084026,84026
276,1000000,1102574,102574
277,1000000,1089904,89904
278,1000000,1101276,101276
279,1000000,1178914,178914
280,1000000,1203719,203719
281,1000000,1103417,103417
282,1000000,1083394,83394
283,1000000,1086214,86214
284,1000000,1097708,97708
285,1000000,1095030,95030
286,1000000,1098439,98439
287,1000000,1189531,189531
288,1000000,1208415,208415
289,1000000,1101509,101509
290,1000000,1086348,86348
291,1000000,1083021,83021
292,1000000,1093792,93792
293,1000000,1069602,69602
294,1000000,1074233,74233
295,1000000,1163800,163800
296,1000000,1171174,171174
297,1000000,1185795,185795
298,1000000,1077333,77333
299,1000000,1082973,82973
300,1000000,1078648,78648
301,1000000,1097503,97503
302,1000000,1090853,90853
303,1000000,1263448,263448
304,1000000,1294556,294556
305,1000000,1086625,86625
306,1000000,1084433,84433
307,1000000,1081913,81913
308,1000000,1100954,100954
309,1000000,1101804,101804
310,1000000,1182540,182540
311,1000000,1286696,286696
312,1000000,1072135,72135
313,1000000,1085102,85102
314,1000000,1083678,83678
315,1000000,1098696,98696
316,1000000,1176965,176965
317,1000000,1211867,211867
318,1000000,1258547,258547
319,1000000,1085804,85804
320,1000000,1082112,82112
321,1000000,1083722,83722
322,1000000,1094711,94711
323,1000000,1083471,83471
324,1000000,1127633,127633
325,1000000,1192100,192100
326,1000000,1123647,123647
327,1000000,1088192,88192
328,1000000,1082776,82776
329,1000000,1081678,81678
330,1000000,1098768,98768
331,1000000,1100953,100953
332,1000000,1169997,169997
333,1000000,1219342,219342
334,1000000,1102907,102907
335,1000000,1081189,81189
336,1000000,1083121,83121
337,1000000,1084095,84095
338,1000000,1079811,79811
339,1000000,1070628,70628
340,1000000,1168835,168835
341,1000000,1166885,166885
342,1000000,1262194,262194
343,1000000,1082075,82075
344,1000000,1084599,84599
345,1000000,1084371,84371
346,1000000,1099296,99296
347,1000000,1199485,199485
348,1000000,1171880,171880
349,1000000,1241339,241339
350,1000000,1082652,82652
351,1000000,1083814,83814
352,1000000,1089718,89718
353,1000000,1080553,80553
354,1000000,1084202,84202
355,1000000,1171874,171874
356,1000000,1228930,228930
357,1000000,1145258,145258
358,1000000,1085533,85533
359,1000000,1085793,85793
360,1000000,1085514,85514
361,1000000,1101372,101372
362,1000000,1212483,212483
363,1000000,1290732,290732
364,1000000,1090276,90276
365,1000000,1086163,86163
366,1000000,1082760,82760
367,1000000,1077311,77311
368,1000000,1071367,71367
369,1000000,1098448,98448
370,1000000,1172699,172699
371,1000000,1162689,162689
372,1000000,1118840,118840
373,1000000,1413964,413964
374,1000000,1062404,62404
375,1000000,1069097,69097
376,1000000,1218628,218628
377,1000000,1297582,297582
378,1000000,1074245,74245
379,1000000,1082860,82860
380,1000000,1086959,86959
381,1000000,1092594,92594
382,1000000,1073838,73838
383,1000000,1074332,74332
384,1000000,1084765,84765
385,1000000,1177423,177423
386,1000000,1150838,150838
387,1000000,1081431,81431
388,1000000,1084608,84608
389,1000000,1080583,80583
390,1000000,1098845,98845
391,1000000,1174007,174007
392,1000000,1171652,171652
393,1000000,1188266,188266
394,1000000,1083433,83433
395,1000000,1083970,83970
396,1000000,1080774,80774
397,1000000,1091015,91015
398,1000000,1072030,72030
399,1000000,1086756,86756
400,1000000,1090941,90941
401,1000000,1080037,80037
402,1000000,1073422,73422
403,1000000,1079524,79524
404,1000000,1085415,85415
405,1000000,1136647,136647
406,1000000,1074182,74182
407,1000000,1074567,74567
408,1000000,1083207,83207
409,1000000,1103574,103574
410,1000000,1099547,99547
411,1000000,1169333,169333
412,1000000,1088648,88648
413,1000000,1069220,69220
414,1000000,1219032,219032
415,1000000,1074784,74784
416,1000000,1077894,77894
417,1000000,1082277,82277
418,1000000,1095029,95029
419,1000000,1175895,175895
420,1000000,1177316,177316
421,1000000,1206000,206000
422,1000000,1081254,81254
423,1000000,1085217,85217
424,1000000,1083518,83518
425,1000000,1085074,85074
426,1000000,1098182,98182
427,1000000,1217609,217609
428,1000000,1169117,169117
429,1000000,1159916,159916
430,1000000,1088199,88199
431,1000000,1084670,84670
432,1000000,1085842,85842
433,1000000,1080812,80812
434,1000000,1084901,84901
435,1000000,1097608,97608
436,1000000,1212105,212105
437,1000000,1243180,243180
438,1000000,1086227,86227
439,1000000,1092616,92616
440,1000000,1080811,80811
441,1000000,1091481,91481
442,1000000,1098322,98322
443,1000000,1085241,85241
444,1000000,1075106,75106
445,1000000,1078561,78561
446,1000000,1117662,117662
447,1000000,1154415,154415
448,1000000,1071695,71695
449,1000000,1077408,77408
450,1000000,1082001,82001
451,1000000,1092298,92298
452,1000000,1098693,98693
453,1000000,1279343,279343
454,1000000,1240888,240888
455,1000000,1080052,80052
456,1000000,1079568,79568
457,1000000,1074052,74052
458,1000000,1094033,94033
459,1000000,1093105,93105
460,1000000,1199254,199254
461,1000000,1225894,225894
462,1000000,1191546,191546
463,1000000,1084340,84340
464,1000000,1084738,84738
465,1000000,1099093,99093
466,1000000,1098214,98214
467,1000000,1180942,180942
468,1000000,1231846,231846
469,1000000,1096086,96086
470,1000000,1083467,83467
471,1000000,1080043,80043
472,1000000,1075318,75318
473,1000000,1090736,90736
474,1000000,1157823,157823
475,1000000,1152420,152420
476,1000000,1210455,210455
477,1000000,1067771,67771
478,1000000,1072016,72016
479,1000000,1075136,75136
