delay,requested_ns,requested_us,load,trials,mean_error_ns,median_error_ns,p90_error_ns,p95_error_ns,p99_error_ns,min_error_ns,max_error_ns,stddev_error_ns,mean_error_us,median_error_us,p99_error_us,max_error_us
100us,100000,100.0,idle,500,69302.962,56285.0,59146.8,63661.299999999996,192066.25999999954,7806,2892598,156648.9246222155,69.302962,56.285,192.06625999999955,2892.598
100us,100000,100.0,moderate,500,53347.132,53746.0,54338.5,54535.05,55148.19,12006,57300,2791.1172262332516,53.347131999999995,53.746,55.14819,57.3
100us,100000,100.0,heavy,500,61582.412,53790.0,55522.100000000006,60007.39999999996,139289.1399999993,14242,2156306,101014.28926116471,61.582412,53.79,139.2891399999993,2156.306
1ms,1000000,1000.0,idle,500,121307.126,86690.5,206039.30000000002,228422.69999999998,298726.839999999,45221,2386840,119496.93149112292,121.30712600000001,86.6905,298.72683999999896,2386.84
1ms,1000000,1000.0,moderate,500,57577.344,55697.5,57027.1,57652.2,69698.97999999992,17057,997210,43670.095663207154,57.577344,55.6975,69.69897999999992,997.21
1ms,1000000,1000.0,heavy,500,134413.45,56248.0,102452.60000000008,350022.2499999991,2471999.219999999,8170,6184181,441146.5765142143,134.41345,56.248,2471.999219999999,6184.181
10ms,10000000,10000.0,idle,500,147036.704,93027.0,215211.30000000002,270077.2999999997,1164402.819999998,51793,2170887,181268.45521555145,147.036704,93.027,1164.402819999998,2170.887
10ms,10000000,10000.0,moderate,500,60821.776,59853.0,66035.4,69950.95,99157.79999999999,11463,271562,13613.75468685344,60.821776,59.853,99.1578,271.562
10ms,10000000,10000.0,heavy,500,193163.716,61113.5,419765.00000000035,689826.2499999988,1944688.3699999982,12227,8721303,557492.9205487432,193.163716,61.1135,1944.6883699999983,8721.303
100ms,100000000,100000.0,idle,500,142479.172,100916.0,221374.7,248493.69999999992,592122.7999999976,65905,1745445,131253.8546994427,142.479172,100.916,592.1227999999976,1745.445
100ms,100000000,100000.0,moderate,500,64176.486,59402.5,62233.5,63918.399999999994,159194.41999999966,13698,833616,53099.0497887279,64.176486,59.4025,159.19441999999967,833.616
100ms,100000000,100000.0,heavy,500,237630.098,61523.0,386919.50000000023,870029.0499999993,1993820.8899999997,18483,33323730,1575305.708815953,237.630098,61.523,1993.8208899999997,33323.73
